Date,Close,High,Low,Open,Volume,MA5,MA20,MA60,RSI,MACD,MACD_signal,MACD_hist,BB_upper,BB_mid,BB_lower,Volume_MA20,Volume_ratio,ATR,pct_change,usdtwd_pct,twii_pct,murata_pct,tdk_pct
2023-12-13,104.02384948730469,105.38660734085016,103.56959686945619,105.38660734085016,98000,103.93300323486328,100.34440727233887,99.34505157470703,60.5133272375995,1.8667536747279883,1.438920759043485,0.4278329156845033,108.23655144164579,100.34440727233887,92.45226310303195,210150.0,0.4663335712586248,2.5125230455232095,-0.43479133980884876,0.46316889472772793,0.10486055359522073,-0.32981212659791703,-1.3329450981172108
2023-12-14,104.47811126708984,106.29512189782184,104.02385860940684,104.02385860940684,268000,104.29640502929688,100.8667984008789,99.36776428222656,61.68271786807047,1.8775037409193516,1.5266373554186583,0.35086638550069327,108.37286301625706,100.8667984008789,93.36073378550076,220800.0,1.213768115942029,2.480356294189069,0.43669003024213726,-1.0043531382914583,1.054327258708887,-2.211764988013021,-2.6118244078858655
2023-12-15,104.02384948730469,104.93235472300167,104.02384948730469,104.93235472300167,81000,104.387255859375,101.34376335144043,99.40561866760254,59.77628008025094,1.8282926964890436,1.5869684236327355,0.2413242728563081,108.33704960937828,101.34376335144043,94.35047709350258,220600.0,0.3671804170444243,2.2707761530567905,-0.43479133980884876,0.08762037854230798,0.11759835156519571,0.5164760924605938,1.3409399783831377
2023-12-18,103.11534881591797,105.38661200569591,103.11534881591797,105.38661200569591,194000,104.0238540649414,101.79801635742187,99.42833137512207,56.04546800150311,1.6964288024630747,1.6088604993988034,0.08756830306427132,107.91664086596333,101.79801635742187,95.67939184888041,227200.0,0.8538732394366197,2.270841091286277,-0.8733580576611888,0.524301763827939,-0.1235713786054915,-0.07088020635188652,0.5475196571579577
2023-12-19,103.11534881591797,104.02385409182915,100.84408562614004,103.11534881591797,296000,103.75130157470703,102.07056770324706,99.46618576049805,56.04546800150311,1.573784112813513,1.6018452220817454,-0.028061109268232354,107.89231799396153,102.07056770324706,96.2488174125326,233850.0,1.2657686551208038,2.392031407873321,0.0,0.08677068074613992,-0.42759115315066376,0.2836945980871697,0.665562738576031
2023-12-20,104.47811126708984,104.47811126708984,103.56960595172384,104.47811126708984,117000,103.84215393066407,102.45668258666993,99.49646924336751,60.350500832817154,1.5684705017819596,1.5951702780217885,-0.026699776239828887,107.79884159986192,102.45668258666993,97.11452357347794,237050.0,0.49356675806791817,2.254795546979795,1.321590303306519,-0.33465989557395215,0.33367432683415466,0.1767973106314713,2.253936700068282
2023-12-21,109.0206298828125,109.0206298828125,102.66109313964844,102.66109313964844,960000,104.75065765380859,103.0699234008789,99.61003227233887,70.66450792013903,1.9087992658829052,1.657896075594012,0.2509031902888932,108.472122949876,103.0699234008789,97.66772385188182,280800.0,3.4188034188034186,2.8020943731376966,4.347818467075926,0.12791495872452874,-0.5186161111112364,-0.7059592939427706,-1.396030157610939
2023-12-22,109.0206298828125,111.74614562988282,106.7493667602539,110.83764038085938,977000,105.75001373291016,103.61502647399902,99.75387891133626,70.66450792013903,2.1536859127895553,1.7570540430331207,0.3966318697564346,109.11287493602468,103.61502647399902,98.11717801197337,319300.0,3.059818352646414,3.0947189726698587,0.0,-0.3736782960108931,0.30147861455658287,1.013151230289644,-0.044694441593606804
2023-12-25,106.7493667602539,109.92913513183595,106.7493667602539,108.11212463378907,300000,106.47681732177735,104.16012954711914,99.87501284281413,61.40230123440214,2.1398218581357895,1.8336076060536546,0.30621425208213493,108.44274934744821,104.16012954711914,99.87750974679007,329700.0,0.9099181073703366,3.1060588925248167,-2.083333333333337,-0.36226354270691985,0.04665088698287967,0.8094200739831026,-0.7306045007081985
2023-12-26,105.38661193847656,107.20362248913995,105.38661193847656,106.7493698514741,124000,106.93106994628906,104.43268127441407,99.97343419392904,56.60799406292437,1.995864486420416,1.866058982127007,0.12980550429340898,108.2520414564659,104.43268127441407,100.61332109236223,322050.0,0.38503337990995185,2.934185780276626,-1.2765928858743725,0.127733444468503,0.8343763777672208,1.0124157837348102,0.7509993074272581
