date,ticker,target,analog_pred,actual,analog_abs_error,zero_abs_error,analog_correct,case_count
2024-04-19,2327.TW,gap,0.11572352312497894,-0.5059031697383642,0.6216266928633432,0.5059031697383642,False,8
2024-04-19,2327.TW,intraday,0.5194832468876476,-0.3389809139450639,0.8584641608327115,0.3389809139450639,False,8
2024-04-19,2327.TW,close_to_close,0.6359353445343635,-0.8431691684949727,1.4791045130293363,0.8431691684949727,False,8
2024-04-19,2472.TW,gap,0.020727260181002682,-0.5434867286697842,0.5642139888507869,0.5434867286697842,False,8
2024-04-19,2472.TW,intraday,0.5757549415962904,-1.912560047610768,2.4883149892070584,1.912560047610768,False,8
2024-04-19,2472.TW,close_to_close,0.5958522337862343,-2.4456522662439584,3.0415045000301926,2.4456522662439584,False,8
2024-04-19,2481.TW,gap,-0.05497919149431153,-0.7042184666004925,0.649239275106181,0.7042184666004925,True,8
2024-04-19,2481.TW,intraday,0.25318879242566816,-4.609933011482914,4.863121803908582,4.609933011482914,False,8
2024-04-19,2481.TW,close_to_close,0.19911333343480692,-5.281687478518626,5.480800811953433,5.281687478518626,False,8
2024-04-19,2492.TW,gap,-0.05027504844315052,-0.938970017378904,0.8886949689357534,0.938970017378904,True,8
2024-04-19,2492.TW,intraday,0.9264702950901524,-1.4218009478673022,2.3482712429574546,1.4218009478673022,False,8
2024-04-19,2492.TW,close_to_close,0.8783860425027352,-2.347420680638934,3.2258067231416696,2.347420680638934,False,8
2024-04-19,3026.TW,gap,-0.05180092254994107,-7.964958792516796e-06,0.051792957591148554,7.964958792516796e-06,True,8
2024-04-19,3026.TW,intraday,0.012366094010263229,-1.347153421510694,1.3595195155209572,1.347153421510694,False,8
2024-04-19,3026.TW,close_to_close,-0.04005637673512169,-1.3471612791692733,1.3071049024341517,1.3471612791692733,True,8
2024-04-19,3357.TWO,gap,-0.0992748078950626,-0.4405260875643191,0.3412512796692565,0.4405260875643191,True,8
2024-04-19,3357.TWO,intraday,0.31950647763381995,-2.65486725663715,2.97437373427097,2.65486725663715,False,8
2024-04-19,3357.TWO,close_to_close,0.21819726928042488,-3.083697961345788,3.3018952306262133,3.083697961345788,False,8
2024-04-19,3675.TWO,gap,-0.02695123072673083,0.163137493753207,0.19008872447993783,0.163137493753207,False,8
2024-04-19,3675.TWO,intraday,0.44700202560986896,-1.1400602796043824,1.5870623052142514,1.1400602796043824,False,8
2024-04-19,3675.TWO,close_to_close,0.4153185237655316,-0.9787826516185928,1.3941011753841244,0.9787826516185928,False,8
2024-04-19,5425.TWO,gap,-0.2223834788658327,-1.0681028227034983,0.8457193438376656,1.0681028227034983,True,8
2024-04-19,5425.TWO,intraday,-0.030707572655584728,-4.048583079320478,4.017875506664893,4.048583079320478,True,8
2024-04-19,5425.TWO,close_to_close,-0.25374759756114224,-5.073442871874256,4.819695274313114,5.073442871874256,True,8
2024-04-19,8255.TWO,gap,-0.5331160014511075,-1.626019239152976,1.0929032377018686,1.626019239152976,True,8
2024-04-19,8255.TWO,intraday,0.7344909883564232,-2.4793388429751984,3.213829831331622,2.4793388429751984,False,8
2024-04-19,8255.TWO,close_to_close,0.18077701234013727,-4.065043555537606,4.245820567877743,4.065043555537606,False,8
2024-04-19,8261.TW,gap,0.11221029688326944,6.246984263214017e-07,0.11220967218484312,6.246984263214017e-07,True,8
2024-04-19,8261.TW,intraday,0.006509442173033286,-2.560973748928164,2.5674831911011973,2.560973748928164,False,8
