date,code,news_score,n_kw
2024-07-16,8255,0.0,0
2024-07-16,8261,0.0,0
2024-07-17,2327,0.1354,1
2024-07-17,2492,-0.0425,1
2024-07-17,3026,0.0,0
2024-07-17,2472,0.0,0
2024-07-17,3357,0.0,0
2024-07-17,5425,0.0,0
2024-07-17,2481,0.0,0
2024-07-17,3675,0.0,0
2024-07-17,8255,0.0,0
2024-07-17,8261,0.0,0
2024-07-18,2327,0.0,0
2024-07-18,2492,0.0,0
2024-07-18,3026,0.0,0
2024-07-18,2472,0.1564,1
2024-07-18,3357,0.0,0
2024-07-18,5425,0.0,0
2024-07-18,2481,0.0,0
2024-07-18,3675,0.0,0
2024-07-18,8255,0.0,0
2024-07-18,8261,0.0,0
2024-07-19,2327,0.0,0
2024-07-19,2492,-0.0425,1
2024-07-19,3026,0.0,0
2024-07-19,2472,0.0,0
2024-07-19,3357,0.0,0
2024-07-19,5425,0.0,0
2024-07-19,2481,0.0,0
2024-07-19,3675,0.0,0
2024-07-19,8255,0.0,0
2024-07-19,8261,0.0,0
2024-07-22,2327,0.0,0
2024-07-22,2492,0.0,0
2024-07-22,3026,0.0,0
2024-07-22,2472,0.0,0
2024-07-22,3357,0.0,0
2024-07-22,5425,0.0,0
2024-07-22,2481,0.0081,2
2024-07-22,3675,0.0,0
2024-07-22,8255,0.0,0
2024-07-22,8261,0.0,0
2024-07-23,2327,0.1564,1
2024-07-23,2492,0.0,0
2024-07-23,3026,0.0,0
2024-07-23,2472,0.0,0
2024-07-23,3357,0.0,0
2024-07-23,5425,0.0,0
2024-07-23,2481,0.0,0
2024-07-23,3675,0.0,0
2024-07-23,8255,0.0,0
2024-07-23,8261,0.0,0
2024-07-26,2327,0.0851,6
2024-07-26,2492,0.0,0
2024-07-26,3026,0.0,0
2024-07-26,2472,0.0,0
2024-07-26,3357,0.0,0
2024-07-26,5425,0.0,0
2024-07-26,2481,0.0,0
2024-07-26,3675,-0.3325,6
2024-07-26,8255,0.0,1
2024-07-26,8261,0.0,0
2024-07-29,2327,-0.0669,1
2024-07-29,2492,0.0,0
2024-07-29,3026,0.0,0
2024-07-29,2472,0.0,0
2024-07-29,3357,0.0,0
2024-07-29,5425,0.0,0
2024-07-29,2481,0.0,0
2024-07-29,3675,-0.0507,3
2024-07-29,8255,0.0,0
2024-07-29,8261,0.0,0
2024-07-30,2327,0.1172,4
2024-07-30,2492,0.0,0
2024-07-30,3026,-0.0193,1
2024-07-30,2472,0.0,0
2024-07-30,3357,0.0,0
2024-07-30,5425,0.0,0
2024-07-30,2481,0.0,0
2024-07-30,3675,0.0,0
2024-07-30,8255,0.0,0
2024-07-30,8261,0.0,0
2024-07-31,2327,0.2781,12
2024-07-31,2492,0.0,0
2024-07-31,3026,0.0,0
2024-07-31,2472,0.0142,1
2024-07-31,3357,0.0,0
2024-07-31,5425,0.0,0
2024-07-31,2481,0.0,0
2024-07-31,3675,0.0,0
2024-07-31,8255,0.0,0
2024-07-31,8261,0.0,0
2024-08-01,2327,-0.0465,5
2024-08-01,2492,-0.0193,1
2024-08-01,3026,0.0,0
2024-08-01,2472,0.0,0
2024-08-01,3357,0.0,0
2024-08-01,5425,0.0,0
2024-08-01,2481,-0.0193,1
2024-08-01,3675,0.0,0
2024-08-01,8255,0.0,0
2024-08-01,8261,0.0,0
2024-08-02,2327,0.0,0
2024-08-02,2492,0.0,0
2024-08-02,3026,0.0,0
2024-08-02,2472,0.0,0
2024-08-02,3357,0.0,0
2024-08-02,5425,0.0,0
2024-08-02,2481,0.0,0
2024-08-02,3675,0.0,0
2024-08-02,8255,-0.0193,1
2024-08-02,8261,0.0,0
2024-08-05,2327,0.0,0
2024-08-05,2492,-0.389,1
2024-08-05,3026,0.0,0
2024-08-05,2472,0.0,0
2024-08-05,3357,0.0,0
2024-08-05,5425,0.0,0
2024-08-05,2481,-0.389,1
2024-08-05,3675,-0.506,6
2024-08-05,8255,-0.4507,2
2024-08-05,8261,0.0,0
2024-08-06,2327,0.0,0
2024-08-06,2492,0.0,0
2024-08-06,3026,0.0,0
2024-08-06,2472,0.0,0
2024-08-06,3357,0.0,0
2024-08-06,5425,0.0,0
2024-08-06,2481,0.0,0
2024-08-06,3675,-0.0225,4
2024-08-06,8255,0.0,0
2024-08-06,8261,0.0,0
2024-08-07,2327,0.0,0
2024-08-07,2492,0.0,0
2024-08-07,3026,-0.1925,4
2024-08-07,2472,0.0,0
2024-08-07,3357,0.0,0
2024-08-07,5425,0.0,0
2024-08-07,2481,0.0,0
2024-08-07,3675,0.0,0
2024-08-07,8255,0.0,0
2024-08-07,8261,0.0,0
2024-08-08,2327,0.0814,8
2024-08-08,2492,0.0,0
2024-08-08,3026,-0.0139,1
2024-08-08,2472,0.0,0
2024-08-08,3357,0.0,0
2024-08-08,5425,0.0,0
2024-08-08,2481,0.0,0
2024-08-08,3675,0.0,0
2024-08-08,8255,-0.0756,2
2024-08-08,8261,0.0,0
2024-08-09,2327,0.1189,4
2024-08-09,2492,-0.0816,3
2024-08-09,3026,0.0,0
2024-08-09,2472,-0.1925,4
2024-08-09,3357,0.0,0
2024-08-09,5425,0.0,0
2024-08-09,2481,0.0,0
2024-08-09,3675,0.0,0
2024-08-09,8255,0.0,0
2024-08-09,8261,0.0,0
2024-08-12,2327,0.0,0
2024-08-12,2492,0.0,0
2024-08-12,3026,0.0,0
2024-08-12,2472,0.0,0
2024-08-12,3357,0.0,0
2024-08-12,5425,0.0,0
2024-08-12,2481,-0.159,4
2024-08-12,3675,0.0,0
2024-08-12,8255,0.0,0
2024-08-12,8261,0.0,0
2024-08-13,2327,0.0,0
2024-08-13,2492,0.0,0
2024-08-13,3026,0.0,0
2024-08-13,2472,0.0,0
2024-08-13,3357,0.0,0
2024-08-13,5425,0.0,0
2024-08-13,2481,0.0,0
2024-08-13,3675,0.0,0
2024-08-13,8255,0.0,0
2024-08-13,8261,0.0,0
2024-08-14,2327,0.0,0
2024-08-14,2492,0.0,0
2024-08-14,3026,0.0,0
2024-08-14,2472,0.0,0
2024-08-14,3357,0.0,0
2024-08-14,5425,0.0,0
2024-08-14,2481,0.0,0
2024-08-14,3675,0.0,0
2024-08-14,8255,0.0,0
2024-08-14,8261,0.0,0
2024-08-15,2327,0.0061,2
2024-08-15,2492,0.0,0
2024-08-15,3026,0.0,0
2024-08-15,2472,0.0,0
2024-08-15,3357,0.0,0
2024-08-15,5425,0.0,0
2024-08-15,2481,0.0,0
2024-08-15,3675,0.0,0
2024-08-15,8255,0.0,0
2024-08-15,8261,0.0,0
2024-08-16,2327,0.0,0
2024-08-16,2492,0.0,0
2024-08-16,3026,0.0,0
2024-08-16,2472,0.0,0
2024-08-16,3357,0.0,0
2024-08-16,5425,0.0,0
2024-08-16,2481,-0.0163,2
2024-08-16,3675,0.0,0
2024-08-16,8255,0.0,0
2024-08-16,8261,0.0,0
2024-08-19,2327,0.0,0
2024-08-19,2492,0.0,0
2024-08-19,3026,0.0,0
2024-08-19,2472,0.0,0
2024-08-19,3357,0.0,0
2024-08-19,5425,0.0,0
2024-08-19,2481,0.0,0
2024-08-19,3675,0.0,0
2024-08-19,8255,0.0,0
2024-08-19,8261,0.0,0
2024-08-20,2327,-0.006,1
2024-08-20,2492,0.0,0
2024-08-20,3026,0.0,0
2024-08-20,2472,0.0,0
2024-08-20,3357,0.0,0
2024-08-20,5425,0.0,0
2024-08-20,2481,0.0,0
2024-08-20,3675,0.0,0
2024-08-20,8255,0.0,0
2024-08-20,8261,0.0,0
2024-08-21,2327,-0.006,1
2024-08-21,2492,0.0,0
2024-08-21,3026,0.0,0
2024-08-21,2472,0.0,0
2024-08-21,3357,0.0,0
2024-08-21,5425,0.0,0
2024-08-21,2481,0.0,0
2024-08-21,3675,0.0,0
2024-08-21,8255,0.0,0
2024-08-21,8261,0.0,0
2024-08-22,2327,-0.0633,1
2024-08-22,2492,0.0,0
2024-08-22,3026,0.0,0
2024-08-22,2472,0.0,0
2024-08-22,3357,0.0,0
2024-08-22,5425,0.0,0
2024-08-22,2481,0.0,0
2024-08-22,3675,0.0,0
2024-08-22,8255,0.0,0
2024-08-22,8261,0.0,0
2024-08-23,2327,0.0,0
2024-08-23,2492,0.0,0
2024-08-23,3026,0.0,0
2024-08-23,2472,0.0,0
2024-08-23,3357,0.0,0
2024-08-23,5425,0.0,0
2024-08-23,2481,0.0,0
2024-08-23,3675,0.0,0
2024-08-23,8255,0.0,0
2024-08-23,8261,0.0,0
2024-08-26,2327,0.0,0
2024-08-26,2492,0.0,0
2024-08-26,3026,0.0,0
2024-08-26,2472,0.0,0
2024-08-26,3357,0.0,0
2024-08-26,5425,0.0,0
2024-08-26,2481,0.0,0
2024-08-26,3675,0.0,0
2024-08-26,8255,0.0,0
2024-08-26,8261,0.0,0
2024-08-27,2327,0.0,0
2024-08-27,2492,0.0,0
2024-08-27,3026,0.0,0
2024-08-27,2472,0.0,0
2024-08-27,3357,0.0,0
2024-08-27,5425,0.0,0
2024-08-27,2481,0.0,0
2024-08-27,3675,0.0,0
2024-08-27,8255,0.0,0
2024-08-27,8261,0.0,0
2024-08-28,2327,0.0,0
2024-08-28,2492,0.0,0
2024-08-28,3026,0.0,0
2024-08-28,2472,0.0,0
2024-08-28,3357,0.0,0
2024-08-28,5425,0.0,0
2024-08-28,2481,0.0,0
2024-08-28,3675,0.0,0
2024-08-28,8255,0.0,0
2024-08-28,8261,0.0,0
2024-08-29,2327,0.0,0
2024-08-29,2492,0.0,0
2024-08-29,3026,0.0,0
2024-08-29,2472,0.0,0
2024-08-29,3357,0.0,0
2024-08-29,5425,0.0,0
2024-08-29,2481,0.0,0
2024-08-29,3675,0.0,0
2024-08-29,8255,0.0,0
2024-08-29,8261,0.0,0
2024-08-30,2327,0.0,0
2024-08-30,2492,0.0,0
2024-08-30,3026,0.0,0
2024-08-30,2472,0.0,0
2024-08-30,3357,0.0,0
2024-08-30,5425,0.0,0
2024-08-30,2481,0.0,0
2024-08-30,3675,0.0,0
2024-08-30,8255,0.0,0
2024-08-30,8261,0.0,0
2024-09-02,2327,0.0,0
2024-09-02,2492,0.0,0
2024-09-02,3026,0.0,0
2024-09-02,2472,0.0,0
2024-09-02,3357,0.0,0
2024-09-02,5425,0.0,0
2024-09-02,2481,0.0,0
2024-09-02,3675,0.0,0
2024-09-02,8255,0.0,0
2024-09-02,8261,0.0,0
2024-09-03,2327,0.0,0
2024-09-03,2492,0.0,0
2024-09-03,3026,0.0,0
2024-09-03,2472,0.0,0
2024-09-03,3357,0.0,0
2024-09-03,5425,0.0,0
2024-09-03,2481,0.0,0
2024-09-03,3675,0.0,0
2024-09-03,8255,0.0,0
2024-09-03,8261,0.0,0
2024-09-04,2327,0.0,0
2024-09-04,2492,0.0,0
2024-09-04,3026,0.0,0
2024-09-04,2472,0.0,0
2024-09-04,3357,0.0,0
2024-09-04,5425,0.0,0
2024-09-04,2481,0.0,0
2024-09-04,3675,-0.1532,4
2024-09-04,8255,0.0,0
2024-09-04,8261,0.0,0
2024-09-05,2327,0.0,0
2024-09-05,2492,0.0,0
2024-09-05,3026,0.0,0
2024-09-05,2472,0.0,0
2024-09-05,3357,0.0,0
2024-09-05,5425,0.0,0
2024-09-05,2481,0.1564,1
2024-09-05,3675,0.0,0
2024-09-05,8255,0.0,0
2024-09-05,8261,0.0,0
2024-09-06,2327,0.0,0
2024-09-06,2492,0.0915,1
2024-09-06,3026,-0.1732,3
2024-09-06,2472,0.0,0
2024-09-06,3357,0.0,0
2024-09-06,5425,0.0,0
2024-09-06,2481,0.0,0
2024-09-06,3675,0.0061,2
2024-09-06,8255,-0.1732,3
2024-09-06,8261,0.0,0
2024-09-09,2327,-0.153,5
2024-09-09,2492,0.0,0
2024-09-09,3026,0.0,0
2024-09-09,2472,-0.1732,3
2024-09-09,3357,0.0,0
2024-09-09,5425,-0.1732,3
2024-09-09,2481,0.0,0
2024-09-09,3675,0.0,0
2024-09-09,8255,0.0,0
2024-09-09,8261,0.0,0
2024-09-10,2327,-0.0809,2
2024-09-10,2492,-0.1732,3
2024-09-10,3026,0.0,0
2024-09-10,2472,0.0,0
2024-09-10,3357,0.0,0
2024-09-10,5425,0.0,0
2024-09-10,2481,-0.1732,3
2024-09-10,3675,0.0,0
2024-09-10,8255,0.0,0
2024-09-10,8261,0.0,0
2024-09-11,2327,0.0,0
2024-09-11,2492,0.1711,4
2024-09-11,3026,0.0,0
2024-09-11,2472,0.0,0
2024-09-11,3357,0.0,0
2024-09-11,5425,0.0,0
2024-09-11,2481,0.0,0
2024-09-11,3675,0.0,0
2024-09-11,8255,0.0,0
2024-09-11,8261,0.0,0
2024-09-12,2327,0.0998,5
2024-09-12,2492,0.1711,4
2024-09-12,3026,0.0,0
2024-09-12,2472,0.0,0
2024-09-12,3357,0.0,0
2024-09-12,5425,0.0,0
2024-09-12,2481,0.0,0
2024-09-12,3675,0.0,0
2024-09-12,8255,0.0,0
2024-09-12,8261,0.0,0
2024-09-13,2327,-0.02,2
2024-09-13,2492,0.0,0
2024-09-13,3026,0.0,0
2024-09-13,2472,0.0,0
2024-09-13,3357,0.0,0
2024-09-13,5425,0.0,0
2024-09-13,2481,0.0,0
2024-09-13,3675,0.0,0
2024-09-13,8255,0.0,0
2024-09-13,8261,0.0,0
2024-09-16,2327,0.0,0
2024-09-16,2492,0.0,0
2024-09-16,3026,0.0,0
2024-09-16,2472,0.0,0
2024-09-16,3357,0.0,0
2024-09-16,5425,0.0,0
2024-09-16,2481,0.0,0
2024-09-16,3675,0.0,0
2024-09-16,8255,0.0,0
2024-09-16,8261,0.0,0
2024-09-18,2327,0.0,0
2024-09-18,2492,0.0,0
2024-09-18,3026,0.0,0
2024-09-18,2472,0.0,0
2024-09-18,3357,0.0,0
2024-09-18,5425,0.0,0
2024-09-18,2481,0.0,0
2024-09-18,3675,0.0,0
2024-09-18,8255,0.1564,1
2024-09-18,8261,0.0,0
2024-09-19,2327,0.0,0
