ticker,method,n,days,direction_accuracy,mae_pp,signal_rate,interval_n50,coverage50,width50_pp,interval_score50,interval_n80,coverage80,width80_pp,interval_score80
2327.TW,frozen_full,45,45,0.6,15.47742172711911,1.0,45,0.5777777777777777,33.083277401081666,42.18368935005393,45,0.8888888888888888,47.951001014470414,49.76906435178451
2327.TW,history_median,45,45,0.37777777777777777,4.8510267179010516,1.0,45,0.5555555555555556,9.78246979007303,15.724018665377871,45,0.8444444444444444,20.58128143988265,21.65229491736761
2327.TW,ridge_full,45,45,0.5777777777777777,5.6195946103308545,1.0,45,0.5777777777777777,11.2272642289102,18.582506476492224,45,0.8444444444444444,20.132794988079713,26.41278547796446
2327.TW,ridge_price,45,45,0.5333333333333333,4.917439570281368,1.0,45,0.5333333333333333,10.553197917782125,16.208134586947455,45,0.8444444444444444,18.963997793618763,21.315342742913927
2327.TW,ridge_strategy,45,45,0.5555555555555556,4.9025558537668905,1.0,45,0.5555555555555556,10.515320222376634,16.106563809989687,45,0.8888888888888888,19.145095053644916,21.24083800616793
2327.TW,tree_full_post_only,45,45,0.5333333333333333,4.973032419006206,1.0,45,0.6,9.889801662880096,16.024779791095803,45,0.8444444444444444,20.37699664782084,22.420313587520884
2327.TW,yesterday_full,45,45,0.5555555555555556,5.492870525291707,1.0,45,0.6,11.075405107968104,17.491228343507718,45,0.8666666666666667,19.39752994620322,24.617194248811725
2327.TW,zero,45,45,0.022222222222222223,4.808037707684876,0.0,45,0.5555555555555556,9.652765070522115,15.664500006729181,45,0.8444444444444444,20.587912533933554,21.50377612513959
2472.TW,frozen_full,45,45,0.4444444444444444,6.461963320620906,1.0,45,0.4888888888888889,10.90925281134537,19.633887916273743,45,0.7555555555555555,19.414353119894734,26.41679437686968
2472.TW,history_median,45,45,0.4444444444444444,3.5384365865854748,1.0,45,0.6666666666666666,8.588443735743077,11.7626479113644,45,0.9111111111111111,14.917498476349925,16.36892459708615
2472.TW,ridge_full,45,45,0.5333333333333333,3.5940563727414414,1.0,45,0.6666666666666666,10.341131213135883,12.736590795095335,45,0.9111111111111111,16.558696364131695,17.949085690928925
2472.TW,ridge_price,45,45,0.5777777777777777,3.5568833767973236,1.0,45,0.6888888888888889,9.015710139284174,11.903999238158953,45,0.8888888888888888,15.125801499782433,16.745170014448203
2472.TW,ridge_strategy,45,45,0.4888888888888889,3.576863459350055,1.0,45,0.7111111111111111,9.128856783090114,12.075105027778548,45,0.8666666666666667,15.193889196037155,16.931369005946546
2472.TW,tree_full_post_only,45,45,0.5333333333333333,3.7697946603851316,1.0,45,0.5777777777777777,9.43373714894265,12.502977669908887,45,0.8666666666666667,14.30158878099914,15.942402786749307
2472.TW,yesterday_full,45,45,0.5111111111111111,3.788376198475133,1.0,45,0.6666666666666666,9.848922902617401,12.668720617863041,45,0.9333333333333333,16.372878900420947,17.64392909634086
2472.TW,zero,45,45,0.022222222222222223,3.524360520881738,0.0,45,0.6444444444444445,8.606818218538931,11.652704941505277,45,0.9111111111111111,14.825024103170193,16.283069255243316
