date,method,n,accuracy,mae,mae_zero,good
2024-04-19,ridge_full,10,0.5,2.791167740604997,2.8027031053670104,False
2024-04-22,ridge_full,10,0.6,2.821752593596951,2.7931688209704633,False
2024-04-23,ridge_full,10,0.3,1.2279546967264185,0.9155344699598944,False
2024-04-24,ridge_full,10,0.4,4.061340588568998,3.9017652503177147,False
2024-04-25,ridge_full,10,0.5,1.394400972010213,1.4356719493764691,False
2024-04-26,ridge_full,10,0.5,0.9517797301893427,0.8533821207130753,False
2024-04-29,ridge_full,10,0.6,2.337009308364226,2.395719437223718,False
2024-04-30,ridge_full,10,0.7,0.7890609483555245,0.98248833142625,True
2024-05-02,ridge_full,10,0.5,1.0972542941034995,1.1309031441555917,False
2024-05-03,ridge_full,10,0.6,2.0549560145878973,2.1875554549908007,False
2024-05-06,ridge_full,10,0.3,1.4047511936992316,1.0874003100362828,False
2024-05-07,ridge_full,10,0.3,1.0175183142247388,0.8482515121118638,False
2024-05-08,ridge_full,10,0.7,0.6381222889225322,0.697587827184456,True
2024-05-09,ridge_full,10,0.7,1.006076616417583,1.2550739248576934,False
2024-05-10,ridge_full,10,0.4,1.0423838344233554,0.8603953378449403,False
2024-05-13,ridge_full,10,0.6,0.8097458116321743,0.815957414678129,False
2024-05-14,ridge_full,10,0.5,0.6402470372137499,0.6327851130313555,False
2024-05-15,ridge_full,10,0.4,0.882458109228876,0.7540952137424173,False
2024-05-16,ridge_full,10,0.4,1.1374925543703953,1.0498484673092823,False
2024-05-17,ridge_full,10,0.5,0.7331014420465225,0.7195412040542204,False
2024-05-20,ridge_full,10,0.8,0.6696878679748831,0.9887616754916506,True
2024-05-21,ridge_full,10,0.3,0.5713378679726435,0.46066880963158363,False
2024-05-22,ridge_full,10,0.3,1.3973933552100593,1.1040384241853727,False
2024-05-23,ridge_full,10,0.6,0.8726493967743375,0.9808110625051902,False
2024-05-24,ridge_full,10,0.5,2.19803165408594,2.273954650033272,False
2024-05-27,ridge_full,10,0.2,2.802044193526889,2.5229383587174032,False
2024-05-28,ridge_full,10,0.2,1.407838804983991,1.1733972692873318,False
2024-05-29,ridge_full,10,0.5,0.7654948065850047,0.8130223061407381,False
2024-05-30,ridge_full,10,0.6,1.7209482645820398,1.61421533566533,False
2024-05-31,ridge_full,10,0.5,0.8973318248602575,0.9466645670987095,False
2024-06-03,ridge_full,10,0.9,0.7369359038996481,0.9561139225898196,True
2024-06-04,ridge_full,10,0.5,0.8463520557990997,0.9008168272645634,False
2024-06-05,ridge_full,10,0.4,1.087609810103578,1.0358959103419174,False
2024-06-06,ridge_full,10,0.8,1.787460005875054,1.8052590995610753,False
2024-06-07,ridge_full,10,0.7,1.8456898405484217,2.028540775901333,False
2024-06-11,ridge_full,10,0.6,1.5410187437402343,1.5087328709663972,False
2024-06-12,ridge_full,10,0.6,0.6647899425025912,0.7135149827479836,False
2024-06-13,ridge_full,10,0.8,1.1515307656600355,1.2563565010350641,False
2024-06-14,ridge_full,10,0.4,2.2894534382124374,2.20372708605406,False
2024-06-17,ridge_full,10,0.6,2.374181964679919,2.449672239131927,False
2024-06-18,ridge_full,10,0.5,1.2850878872296314,1.213540747246894,False
2024-06-19,ridge_full,10,0.5,1.8834763674256336,1.7880250179811241,False
2024-06-20,ridge_full,10,0.6,0.9748077995129784,1.0523484114144321,False
2024-06-21,ridge_full,10,0.6,2.3355714057329786,2.3297282584696077,False
2024-06-24,ridge_full,10,0.5,1.5434678317053578,1.5166710108754466,False
2024-06-25,ridge_full,10,0.4,1.296728864008716,1.089461809245057,False
2024-06-26,ridge_full,10,0.7,0.684976690757111,0.680655294045196,False
2024-06-27,ridge_full,10,0.2,1.3110469425679292,1.2142032206492648,False
2024-06-28,ridge_full,10,0.4,2.515234010310271,2.5261697011620976,False
2024-07-01,ridge_full,10,0.5,2.6663534424455158,2.5114757246533137,False
2024-07-02,ridge_full,10,0.4,1.127639094193293,1.069695401234858,False
2024-07-03,ridge_full,10,0.5,2.6997246158803128,2.7195340409411726,False
2024-07-04,ridge_full,10,0.4,1.8345461576573605,1.600625926581667,False
2024-07-05,ridge_full,10,0.3,1.2279684735989367,1.0193490061679211,False
2024-07-08,ridge_full,10,0.6,1.587191727929078,1.6176041627406632,False
2024-07-09,ridge_full,10,0.2,2.068877225587396,1.7331280708068164,False
2024-07-10,ridge_full,10,0.6,1.660097242053999,1.4617391620727582,False
2024-07-11,ridge_full,10,0.5,2.2614726221703023,2.2932823318143893,False
2024-07-12,ridge_full,10,0.4,1.3578080987207808,1.4502028360444108,False
2024-07-15,ridge_full,10,0.8,1.6643589867641535,1.9852238915463238,False
2024-07-16,ridge_full,10,0.7,1.5355404342322785,1.5900102338265965,False
2024-07-17,ridge_full,10,0.7,0.8577662761333673,0.8850833474496256,True
2024-07-18,ridge_full,10,0.8,1.4037974267243087,1.583977365390772,False
2024-07-19,ridge_full,10,0.7,2.857237896222825,3.059061815752765,False
2024-07-22,ridge_full,10,0.4,3.565332754194242,3.477807363643811,False
2024-07-23,ridge_full,10,0.3,1.1893913779518506,0.869672744028751,False
2024-07-26,ridge_full,10,0.2,3.547312737680568,2.7811207201176016,False
2024-07-29,ridge_full,10,0.8,1.983517865909329,2.4597545445362488,False
2024-07-30,ridge_full,10,0.5,1.8773468472281596,1.848030475614356,False
2024-07-31,ridge_full,10,0.4,2.025158063287583,1.8041904375511741,False
2024-08-01,ridge_full,10,0.6,2.2754597955340374,2.2900342138856455,False
2024-08-02,ridge_full,10,0.1,3.9714813885675104,3.424719833724427,False
2024-08-05,ridge_full,10,0.7,8.96251755062472,9.487381687173785,False
2024-08-06,ridge_full,10,0.6,3.338248479623565,1.7674384207912364,False
2024-08-07,ridge_full,10,0.6,5.575066121421157,5.611119914373835,False
2024-08-08,ridge_full,10,0.3,2.9276452672654814,1.6196040763010722,False
2024-08-09,ridge_full,10,0.3,2.780103603105156,2.3170072256554786,False
2024-08-12,ridge_full,10,0.9,1.0420471911674851,1.4863127070682758,False
2024-08-13,ridge_full,10,0.4,1.3321637431860065,0.9262838248576599,False
2024-08-14,ridge_full,10,0.5,1.2245305316128987,0.8458789729072747,False
2024-08-15,ridge_full,10,0.7,0.5396009088500332,0.5598515026287875,True
2024-08-16,ridge_full,10,0.4,1.5707517407611207,1.3522670784388124,False
2024-08-19,ridge_full,10,0.8,0.5391900606156474,0.8357210750129784,True
2024-08-20,ridge_full,10,0.5,1.0243819761225033,0.9862447312490552,False
2024-08-21,ridge_full,10,0.4,1.0152859269593293,0.9838276981561677,False
