date,ticker,method,asof,train_target_end,train_n,predicted_pct,actual_pct,abs_error_pp,direction_correct,signal,news_available,context_available_at,vol20,trend,lo50,hi50,width50,covered50,interval_score50,lo80,hi80,width80,covered80,interval_score80,vs_yesterday_prediction_pp
2024-04-19,3357.TWO,ridge_full,2024-04-18,2024-04-18,60,0.5268779490869481,-3.083697961345788,3.610575910432736,False,1,0,,1.8945632693600174,-1.0,,,,,,,,,,,0.0
2024-04-19,3357.TWO,frozen_full,2024-04-18,2024-04-18,60,0.5268779490869481,-3.083697961345788,3.610575910432736,False,1,0,,1.8945632693600174,-1.0,,,,,,,,,,,0.0
2024-04-19,3357.TWO,yesterday_full,2024-04-18,2024-04-18,60,0.5268779490869481,-3.083697961345788,3.610575910432736,False,1,0,,1.8945632693600174,-1.0,,,,,,,,,,,0.0
2024-04-22,3357.TWO,ridge_full,2024-04-19,2024-04-19,61,-0.12113453318566217,-5.000001102558782,4.87886656937312,True,-1,0,,2.027450882146932,-1.0,,,,,,,,,,,0.06906973504770096
2024-04-22,3357.TWO,frozen_full,2024-04-19,2024-04-18,60,-0.05206479813796121,-5.000001102558782,4.94793630442082,True,-1,0,,2.027450882146932,-1.0,,,,,,,,,,,0.06906973504770096
2024-04-22,3357.TWO,yesterday_full,2024-04-19,2024-04-18,60,-0.05206479813796121,-5.000001102558782,4.94793630442082,True,-1,0,,2.027450882146932,-1.0,,,,,,,,,,,0.06906973504770096
2024-04-23,3357.TWO,ridge_full,2024-04-22,2024-04-22,62,-0.2548624359676889,0.9569436482594451,1.211806084227134,False,-1,0,,2.243241203396573,-1.0,,,,,,,,,,,0.6582117269942105
2024-04-23,3357.TWO,frozen_full,2024-04-22,2024-04-18,60,0.6067428191464935,0.9569436482594451,0.3502008291129516,True,1,0,,2.243241203396573,-1.0,,,,,,,,,,,0.6582117269942105
2024-04-23,3357.TWO,yesterday_full,2024-04-22,2024-04-19,61,0.4033492910265216,0.9569436482594451,0.5535943572329235,True,1,0,,2.243241203396573,-1.0,,,,,,,,,,,0.6582117269942105
2024-04-24,3357.TWO,ridge_full,2024-04-23,2024-04-23,63,0.15670426999531697,8.056867170783711,7.900162900788394,True,1,0,,2.2464021632636455,-1.0,,,,,,,,,,,0.06235424751901861
2024-04-24,3357.TWO,frozen_full,2024-04-23,2024-04-18,60,0.3901194126950574,8.056867170783711,7.666747758088654,True,1,0,,2.2464021632636455,-1.0,,,,,,,,,,,0.06235424751901861
2024-04-24,3357.TWO,yesterday_full,2024-04-23,2024-04-22,62,0.09435002247629837,8.056867170783711,7.962517148307413,True,1,0,,2.2464021632636455,-1.0,,,,,,,,,,,0.06235424751901861
2024-04-25,3357.TWO,ridge_full,2024-04-24,2024-04-24,64,0.16247269594168207,3.508764961770816,3.346292265829134,True,1,0,,2.933084431327141,-1.0,,,,,,,,,,,1.3223917132842968
2024-04-25,3357.TWO,frozen_full,2024-04-24,2024-04-18,60,-1.1756197709751812,3.508764961770816,4.684384732745997,False,-1,0,,2.933084431327141,-1.0,,,,,,,,,,,1.3223917132842968
2024-04-25,3357.TWO,yesterday_full,2024-04-24,2024-04-23,63,-1.1599190173426148,3.508764961770816,4.668683979113431,False,-1,0,,2.933084431327141,-1.0,,,,,,,,,,,1.3223917132842968
2024-04-26,3357.TWO,ridge_full,2024-04-25,2024-04-25,65,-1.1694357603958176,2.5423817077390387,3.711817468134856,False,-1,0,,3.0340091251838666,-1.0,,,,,,,,,,,0.9386946958064877
2024-04-26,3357.TWO,frozen_full,2024-04-25,2024-04-18,60,-2.735778621009392,2.5423817077390387,5.278160328748431,False,-1,0,,3.0340091251838666,-1.0,,,,,,,,,,,0.9386946958064877
2024-04-26,3357.TWO,yesterday_full,2024-04-25,2024-04-24,64,-2.1081304562023053,2.5423817077390387,4.650512163941344,False,-1,0,,3.0340091251838666,-1.0,,,,,,,,,,,0.9386946958064877
2024-04-29,3357.TWO,ridge_full,2024-04-26,2024-04-26,66,0.6593875211926061,0.4132256532142664,0.24616186797833972,True,1,0,,3.0157883936804413,-1.0,,,,,,,,,,,0.5409128022514477
2024-04-29,3357.TWO,frozen_full,2024-04-26,2024-04-18,60,-1.2719082625705442,0.4132256532142664,1.6851339157848106,False,-1,0,,3.0157883936804413,-1.0,,,,,,,,,,,0.5409128022514477
2024-04-29,3357.TWO,yesterday_full,2024-04-26,2024-04-25,65,0.11847471894115844,0.4132256532142664,0.29475093427310795,True,1,0,,3.0157883936804413,-1.0,,,,,,,,,,,0.5409128022514477
2024-04-30,3357.TWO,ridge_full,2024-04-29,2024-04-29,67,0.06244493896580092,2.4691307909234794,2.4066858519576786,True,1,0,,3.0066288622620734,1.0,,,,,,,,,,,0.0019788305416871058
2024-04-30,3357.TWO,frozen_full,2024-04-29,2024-04-18,60,-2.035517911511191,2.4691307909234794,4.50464870243467,False,-1,0,,3.0066288622620734,1.0,,,,,,,,,,,0.0019788305416871058
2024-04-30,3357.TWO,yesterday_full,2024-04-29,2024-04-26,66,0.06046610842411381,2.4691307909234794,2.408664682499366,True,1,0,,3.0066288622620734,1.0,,,,,,,,,,,0.0019788305416871058
2024-05-02,3357.TWO,ridge_full,2024-04-30,2024-04-30,68,0.04449107570711053,-3.2128515360305587,3.2573426117376694,False,1,0,,3.033855472376567,1.0,,,,,,,,,,,0.3959108392566392
2024-05-02,3357.TWO,frozen_full,2024-04-30,2024-04-18,60,-2.4996517030053957,-3.2128515360305587,0.713199833025163,True,-1,0,,3.033855472376567,1.0,,,,,,,,,,,0.3959108392566392
2024-05-02,3357.TWO,yesterday_full,2024-04-30,2024-04-29,67,-0.3514197635495287,-3.2128515360305587,2.86143177248103,True,-1,0,,3.033855472376567,1.0,,,,,,,,,,,0.3959108392566392
2024-05-03,3357.TWO,ridge_full,2024-05-02,2024-05-02,69,-0.23172979241422845,7.468878303796012,7.70060809621024,False,-1,0,,2.9560941775780156,1.0,,,,,,,,,,,0.24200625931790976
2024-05-03,3357.TWO,frozen_full,2024-05-02,2024-04-18,60,-1.6628652047163806,7.468878303796012,9.131743508512391,False,-1,0,,2.9560941775780156,1.0,,,,,,,,,,,0.24200625931790976
2024-05-03,3357.TWO,yesterday_full,2024-05-02,2024-04-30,68,0.010276466903681298,7.468878303796012,7.45860183689233,True,1,0,,2.9560941775780156,1.0,,,,,,,,,,,0.24200625931790976
2024-05-06,3357.TWO,ridge_full,2024-05-03,2024-05-03,70,0.22911014931396023,0.38610274853461135,0.15699259922065112,True,1,0,,3.3807205829499556,1.0,,,,,,,,,,,0.712490581679625
2024-05-06,3357.TWO,frozen_full,2024-05-03,2024-04-18,60,-3.602947755491351,0.38610274853461135,3.9890505040259625,False,-1,0,,3.3807205829499556,1.0,,,,,,,,,,,0.712490581679625
2024-05-06,3357.TWO,yesterday_full,2024-05-03,2024-05-02,69,-0.48338043236566475,0.38610274853461135,0.8694831809002761,False,-1,0,,3.3807205829499556,1.0,,,,,,,,,,,0.712490581679625
2024-05-07,3357.TWO,ridge_full,2024-05-06,2024-05-06,71,-0.006990782796290969,1.5384584765232079,1.5454492593194988,False,-1,0,,3.370352965415451,1.0,,,,,,,,,,,0.07234157487729956
2024-05-07,3357.TWO,frozen_full,2024-05-06,2024-04-18,60,-3.900880038800555,1.5384584765232079,5.4393385153237634,False,-1,0,,3.370352965415451,1.0,,,,,,,,,,,0.07234157487729956
2024-05-07,3357.TWO,yesterday_full,2024-05-06,2024-05-03,70,-0.07933235767359052,1.5384584765232079,1.6177908341967984,False,-1,0,,3.370352965415451,1.0,,,,,,,,,,,0.07234157487729956
2024-05-08,3357.TWO,ridge_full,2024-05-07,2024-05-07,72,0.07029047532916313,0.37879019898736654,0.30849972365820344,True,1,0,,3.266321798166717,1.0,,,,,,,,,,,0.1930590784519164
2024-05-08,3357.TWO,frozen_full,2024-05-07,2024-04-18,60,-3.273999432264658,0.37879019898736654,3.6527896312520247,False,-1,0,,3.266321798166717,1.0,,,,,,,,,,,0.1930590784519164
2024-05-08,3357.TWO,yesterday_full,2024-05-07,2024-05-06,71,-0.12276860312275324,0.37879019898736654,0.5015588021101198,False,-1,0,,3.266321798166717,1.0,,,,,,,,,,,0.1930590784519164
2024-05-09,3357.TWO,ridge_full,2024-05-08,2024-05-08,73,-0.6402346461326508,-4.15094431731503,3.5107096711823793,True,-1,0,,3.2636841149009617,1.0,,,,,,,,,,,0.05260723479734697
2024-05-09,3357.TWO,frozen_full,2024-05-08,2024-04-18,60,-3.9571426993125223,-4.15094431731503,0.19380161800250795,True,-1,0,,3.2636841149009617,1.0,,,,,,,,,,,0.05260723479734697
2024-05-09,3357.TWO,yesterday_full,2024-05-08,2024-05-07,72,-0.6928418809299978,-4.15094431731503,3.4581024363850323,True,-1,0,,3.2636841149009617,1.0,,,,,,,,,,,0.05260723479734697
2024-05-10,3357.TWO,ridge_full,2024-05-09,2024-05-09,74,-0.21307069081173582,-0.7874000207802045,0.5743293299684687,True,-1,0,,3.422183911750215,1.0,,,,,,,,,,,0.27410879645397734
2024-05-10,3357.TWO,frozen_full,2024-05-09,2024-04-18,60,-3.2683682872936073,-0.7874000207802045,2.4809682665134027,True,-1,0,,3.422183911750215,1.0,,,,,,,,,,,0.27410879645397734
2024-05-10,3357.TWO,yesterday_full,2024-05-09,2024-05-08,73,0.06103810564224151,-0.7874000207802045,0.8484381264224461,False,1,0,,3.422183911750215,1.0,,,,,,,,,,,0.27410879645397734
2024-05-13,3357.TWO,ridge_full,2024-05-10,2024-05-10,75,-0.4665967776134612,-1.9841262456616882,1.517529468048227,True,-1,0,,3.420850119523732,1.0,,,,,,,,,,,0.03272409048707997
2024-05-13,3357.TWO,frozen_full,2024-05-10,2024-04-18,60,-3.5930380538209588,-1.9841262456616882,1.6089118081592706,True,-1,0,,3.420850119523732,1.0,,,,,,,,,,,0.03272409048707997
2024-05-13,3357.TWO,yesterday_full,2024-05-10,2024-05-09,74,-0.4338726871263812,-1.9841262456616882,1.550253558535307,True,-1,0,,3.420850119523732,1.0,,,,,,,,,,,0.03272409048707997
2024-05-14,3357.TWO,ridge_full,2024-05-13,2024-05-13,76,0.3461726734631627,0.8097149823426575,0.46354230887949477,True,1,0,,3.457592552447883,1.0,,,,,,,,,,,0.1209268513027999
2024-05-14,3357.TWO,frozen_full,2024-05-13,2024-04-18,60,-2.8186576108234367,0.8097149823426575,3.628372593166094,False,-1,0,,3.457592552447883,1.0,,,,,,,,,,,0.1209268513027999
2024-05-14,3357.TWO,yesterday_full,2024-05-13,2024-05-10,75,0.4670995247659626,0.8097149823426575,0.34261545757669487,True,1,0,,3.457592552447883,1.0,,,,,,,,,,,0.1209268513027999
2024-05-15,3357.TWO,ridge_full,2024-05-14,2024-05-14,77,0.22709332247838435,0.40160887737459294,0.1745155548962086,True,1,0,,3.4263208071606166,1.0,,,,,,,,,,,0.034557451770869496
2024-05-15,3357.TWO,frozen_full,2024-05-14,2024-04-18,60,-3.1626893935880553,0.40160887737459294,3.5642982709626483,False,-1,0,,3.4263208071606166,1.0,,,,,,,,,,,0.034557451770869496
2024-05-15,3357.TWO,yesterday_full,2024-05-14,2024-05-13,76,0.19253587070751485,0.40160887737459294,0.2090730066670781,True,1,0,,3.4263208071606166,1.0,,,,,,,,,,,0.034557451770869496
2024-05-16,3357.TWO,ridge_full,2024-05-15,2024-05-15,78,-0.5234275453194086,-1.6000032600456904,1.0765757147262818,True,-1,0,,3.328400870187312,1.0,,,,,,,,,,,0.023580843014756603
2024-05-16,3357.TWO,frozen_full,2024-05-15,2024-04-18,60,-3.39672856801733,-1.6000032600456904,1.7967253079716397,True,-1,0,,3.328400870187312,1.0,,,,,,,,,,,0.023580843014756603
2024-05-16,3357.TWO,yesterday_full,2024-05-15,2024-05-14,77,-0.5470083883341652,-1.6000032600456904,1.0529948717115252,True,-1,0,,3.328400870187312,1.0,,,,,,,,,,,0.023580843014756603
2024-05-17,3357.TWO,ridge_full,2024-05-16,2024-05-16,79,-0.33013625091408233,0.40650655015230797,0.7366428010663904,False,-1,0,,3.3634419199796257,1.0,,,,,,,,,,,0.06127912626188187
2024-05-17,3357.TWO,frozen_full,2024-05-16,2024-04-18,60,-3.470106212887594,0.40650655015230797,3.876612763039902,False,-1,0,,3.3634419199796257,1.0,,,,,,,,,,,0.06127912626188187
