date,ticker,method,asof,train_target_end,train_n,predicted_pct,actual_pct,abs_error_pp,direction_correct,signal,news_available,context_available_at,vol20,trend,lo50,hi50,width50,covered50,interval_score50,lo80,hi80,width80,covered80,interval_score80,vs_yesterday_prediction_pp
2024-04-19,3675.TWO,ridge_full,2024-04-18,2024-04-18,60,0.5074723109500014,-0.9787826516185927,1.4862549625685941,False,1,0,,2.7648832013246194,1.0,,,,,,,,,,,0.0
2024-04-19,3675.TWO,frozen_full,2024-04-18,2024-04-18,60,0.5074723109500014,-0.9787826516185927,1.4862549625685941,False,1,0,,2.7648832013246194,1.0,,,,,,,,,,,0.0
2024-04-19,3675.TWO,yesterday_full,2024-04-18,2024-04-18,60,0.5074723109500014,-0.9787826516185927,1.4862549625685941,False,1,0,,2.7648832013246194,1.0,,,,,,,,,,,0.0
2024-04-22,3675.TWO,ridge_full,2024-04-19,2024-04-19,61,0.45030518798323194,-7.285963346457425,7.736268534440657,False,1,0,,2.793704085112833,1.0,,,,,,,,,,,0.17138522001087675
2024-04-22,3675.TWO,frozen_full,2024-04-19,2024-04-18,60,0.6216904079941087,-7.285963346457425,7.907653754451534,False,1,0,,2.793704085112833,1.0,,,,,,,,,,,0.17138522001087675
2024-04-22,3675.TWO,yesterday_full,2024-04-19,2024-04-18,60,0.6216904079941087,-7.285963346457425,7.907653754451534,False,1,0,,2.793704085112833,1.0,,,,,,,,,,,0.17138522001087675
2024-04-23,3675.TWO,ridge_full,2024-04-22,2024-04-22,62,-1.117255305628816,1.0791215966099887,2.1963769022388044,False,-1,0,,3.358627348149735,1.0,,,,,,,,,,,1.0932313953502222
2024-04-23,3675.TWO,frozen_full,2024-04-22,2024-04-18,60,0.13637535231486017,1.0791215966099887,0.9427462442951285,True,1,0,,3.358627348149735,1.0,,,,,,,,,,,1.0932313953502222
2024-04-23,3675.TWO,yesterday_full,2024-04-22,2024-04-19,61,-0.024023910278593835,1.0791215966099887,1.1031455068885825,False,-1,0,,3.358627348149735,1.0,,,,,,,,,,,1.0932313953502222
2024-04-24,3675.TWO,ridge_full,2024-04-23,2024-04-23,63,-0.7496205911465254,4.448402547653441,5.198023138799966,False,-1,0,,3.3135276677089127,1.0,,,,,,,,,,,0.5042122864598394
2024-04-24,3675.TWO,frozen_full,2024-04-23,2024-04-18,60,-0.8008738376082073,4.448402547653441,5.2492763852616475,False,-1,0,,3.3135276677089127,1.0,,,,,,,,,,,0.5042122864598394
2024-04-24,3675.TWO,yesterday_full,2024-04-23,2024-04-22,62,-1.2538328776063647,4.448402547653441,5.702235425259805,False,-1,0,,3.3135276677089127,1.0,,,,,,,,,,,0.5042122864598394
2024-04-25,3675.TWO,ridge_full,2024-04-24,2024-04-24,64,0.3332898154574941,1.3628689320442033,1.0295791165867092,True,1,0,,3.4222965904609737,1.0,,,,,,,,,,,1.0030745691220313
2024-04-25,3675.TWO,frozen_full,2024-04-24,2024-04-18,60,-1.0112971892440936,1.3628689320442033,2.374166121288297,False,-1,0,,3.4222965904609737,1.0,,,,,,,,,,,1.0030745691220313
2024-04-25,3675.TWO,yesterday_full,2024-04-24,2024-04-23,63,-0.6697847536645372,1.3628689320442033,2.0326536857087403,False,-1,0,,3.4222965904609737,1.0,,,,,,,,,,,1.0030745691220313
2024-04-26,3675.TWO,ridge_full,2024-04-25,2024-04-25,65,0.07383607425909168,1.1764723872003557,1.102636312941264,True,1,0,,3.3216633725661624,1.0,,,,,,,,,,,0.16922085390478872
2024-04-26,3675.TWO,frozen_full,2024-04-25,2024-04-18,60,0.10265350380405307,1.1764723872003557,1.0738188833963027,True,1,0,,3.3216633725661624,1.0,,,,,,,,,,,0.16922085390478872
2024-04-26,3675.TWO,yesterday_full,2024-04-25,2024-04-24,64,-0.09538477964569704,1.1764723872003557,1.2718571668460528,False,-1,0,,3.3216633725661624,1.0,,,,,,,,,,,0.16922085390478872
2024-04-29,3675.TWO,ridge_full,2024-04-26,2024-04-26,66,0.29921955258332755,2.8239060274821925,2.524686474898865,True,1,0,,3.3168494713454297,1.0,,,,,,,,,,,0.0982708991259843
2024-04-29,3675.TWO,frozen_full,2024-04-26,2024-04-18,60,-0.6922204888649204,2.8239060274821925,3.516126516347113,False,-1,0,,3.3168494713454297,1.0,,,,,,,,,,,0.0982708991259843
2024-04-29,3675.TWO,yesterday_full,2024-04-26,2024-04-25,65,0.20094865345734325,2.8239060274821925,2.6229573740248493,True,1,0,,3.3168494713454297,1.0,,,,,,,,,,,0.0982708991259843
2024-04-30,3675.TWO,ridge_full,2024-04-29,2024-04-29,67,0.30650943566890243,-0.96929193205465,1.2758013677235525,False,1,0,,3.3168871602837986,1.0,,,,,,,,,,,0.20246602095544197
2024-04-30,3675.TWO,frozen_full,2024-04-29,2024-04-18,60,-0.5727786718890802,-0.96929193205465,0.39651326016556987,True,-1,0,,3.3168871602837986,1.0,,,,,,,,,,,0.20246602095544197
2024-04-30,3675.TWO,yesterday_full,2024-04-29,2024-04-26,66,0.10404341471346046,-0.96929193205465,1.0733353467681104,False,1,0,,3.3168871602837986,1.0,,,,,,,,,,,0.20246602095544197
2024-05-02,3675.TWO,ridge_full,2024-04-30,2024-04-30,68,0.055922697483390155,-2.1207164497214825,2.1766391472048725,False,1,0,,3.3027397277320065,1.0,,,,,,,,,,,0.09535223870895984
2024-05-02,3675.TWO,frozen_full,2024-04-30,2024-04-18,60,-0.327699175734434,-2.1207164497214825,1.7930172739870485,True,-1,0,,3.3027397277320065,1.0,,,,,,,,,,,0.09535223870895984
2024-05-02,3675.TWO,yesterday_full,2024-04-30,2024-04-29,67,0.15127493619235,-2.1207164497214825,2.2719913859138323,False,1,0,,3.3027397277320065,1.0,,,,,,,,,,,0.09535223870895984
2024-05-03,3675.TWO,ridge_full,2024-05-02,2024-05-02,69,-0.14945502622039325,-1.0000076902005994,0.8505526639802061,True,-1,0,,3.1427176114113777,1.0,,,,,,,,,,,0.12125997344733416
2024-05-03,3675.TWO,frozen_full,2024-05-02,2024-04-18,60,-0.23049004020124741,-1.0000076902005994,0.769517649999352,True,-1,0,,3.1427176114113777,1.0,,,,,,,,,,,0.12125997344733416
