date,ticker,interval,lo_pct,hi_pct,actual_pct,width_pp,covered,interval_score
2026-08-31,2327.TW,50,-3.1370091627762635,4.879620332591327,-8.710217755443884,8.01662949536759,False,30.309463866038072
2026-08-31,2327.TW,80_sigma20,-6.152757641309734,9.620734211439128,-8.710217755443884,15.773491852748862,False,41.348092994090365
2026-08-31,2327.TW,80_sigma5,-5.033650581091799,8.199822704085708,-8.710217755443884,13.233473285177507,False,49.99914502869835
2026-09-01,2327.TW,50,-3.187916037573421,4.856148001684749,4.220183486238538,8.04406403925817,True,8.04406403925817
2026-09-01,2327.TW,80_sigma20,-6.215447218411361,9.591277391903793,4.220183486238538,15.806724610315154,True,15.806724610315154
2026-09-01,2327.TW,80_sigma5,-8.612103802657352,10.0,4.220183486238538,18.61210380265735,True,18.61210380265735
2026-09-02,2327.TW,50,-3.2036765480106277,4.858527746207039,-4.929577464788737,8.062204294217667,False,14.965807961330105
2026-09-02,2327.TW,80_sigma20,-6.252055991854752,9.624762405123795,-4.929577464788737,15.876818396978546,True,15.876818396978546
2026-09-02,2327.TW,80_sigma5,-8.898395211280077,10.0,-4.929577464788737,18.898395211280075,True,18.898395211280075
2026-09-03,2327.TW,50,-3.2935575036257427,4.82020936290919,-5.37037037037037,8.113766866534933,False,16.421018333513445
2026-09-03,2327.TW,80_sigma20,-6.346658463224211,9.577059502347746,-5.37037037037037,15.923717965571957,True,15.923717965571957
2026-09-03,2327.TW,80_sigma5,-9.631668210185367,10.0,-5.37037037037037,19.631668210185367,True,19.631668210185367
2026-09-04,2327.TW,50,-3.3462796414332217,4.80346014146374,9.980430528375738,8.149739782896962,False,28.857621330544955
2026-09-04,2327.TW,80_sigma20,-6.403222306786096,9.561220868645226,9.980430528375738,15.96444317543132,False,20.156539772736444
2026-09-04,2327.TW,80_sigma5,-9.675140739229548,10.0,9.980430528375738,19.675140739229548,True,19.675140739229548
2026-09-07,2327.TW,50,-3.366940818789435,4.8932553157834535,4.804270462633453,8.260196134572888,True,8.260196134572888
2026-09-07,2327.TW,80_sigma20,-6.428296369767552,9.68121890471018,4.804270462633453,16.109515274477733,True,16.109515274477733
2026-09-07,2327.TW,80_sigma5,-10.0,10.0,4.804270462633453,20.0,True,20.0
2026-09-08,2327.TW,50,-3.3395074493209647,4.908332217387371,-3.73514431239389,8.247839666708336,False,9.830387119000036
2026-09-08,2327.TW,80_sigma20,-6.413798695468383,9.726750260257202,-3.73514431239389,16.140548955725585,True,16.140548955725585
2026-09-08,2327.TW,80_sigma5,-8.791647574415041,10.0,-3.73514431239389,18.79164757441504,True,18.79164757441504
2026-09-09,2327.TW,50,-3.380473474554571,4.806935886435064,-0.3527336860670194,8.187409360989635,True,8.187409360989635
2026-09-09,2327.TW,80_sigma20,-6.4689459253699795,9.61092705024791,-0.3527336860670194,16.07987297561789,True,16.07987297561789
2026-09-09,2327.TW,80_sigma5,-9.51525822158122,10.0,-0.3527336860670194,19.51525822158122,True,19.51525822158122
2026-09-10,2327.TW,50,-3.411208318631066,4.747848438183678,1.2389380530973382,8.159056756814744,True,8.159056756814744
2026-09-10,2327.TW,80_sigma20,-6.521964115702406,9.564228100382582,1.2389380530973382,16.08619221608499,True,16.08619221608499
2026-09-10,2327.TW,80_sigma5,-8.758490097670318,10.0,1.2389380530973382,18.758490097670318,True,18.758490097670318
2026-08-31,2492.TW,50,-6.702381113584383,4.35547397475992,-5.901116427432218,11.057855088344303,True,11.057855088344303
2026-08-31,2492.TW,80_sigma20,-8.386005106738832,9.130557242206361,-5.901116427432218,17.516562348945193,True,17.516562348945193
2026-08-31,2492.TW,80_sigma5,-7.4116630208374845,7.643283185943275,-5.901116427432218,15.054946206780759,True,15.054946206780759
2026-09-01,2492.TW,50,-6.869448200464827,4.330715433359725,2.542372881355925,11.200163633824552,True,11.200163633824552
2026-09-01,2492.TW,80_sigma20,-8.561194042113229,9.131589988615914,2.542372881355925,17.692784030729143,True,17.692784030729143
2026-09-01,2492.TW,80_sigma5,-10.0,10.0,2.542372881355925,20.0,True,20.0
