date,ticker,method,coverage_target,low,high,actual,covered,width,interval_score
2024-04-19,2327.TW,empirical_returns_60,0.5,-0.9646239227441122,1.0362693948589463,-0.8431691684949727,True,2.0008933176030586,2.0008933176030586
2024-04-19,2327.TW,empirical_returns_60,0.8,-1.4625180413436523,1.6187084962408838,-0.8431691684949727,True,3.081226537584536,3.081226537584536
2024-04-22,2327.TW,empirical_returns_60,0.5,-0.9646239227441122,0.9756161819226783,1.8707470594888198,False,1.9402401046667905,5.520763614931356
2024-04-22,2327.TW,empirical_returns_60,0.8,-1.4625180413436523,1.6187084962408838,1.8707470594888198,False,3.081226537584536,5.601612170063897
2024-04-23,2327.TW,empirical_returns_60,0.5,-0.9646239227441122,0.9756161819226783,1.335554815411677,False,1.9402401046667905,3.3799946386227853
2024-04-23,2327.TW,empirical_returns_60,0.8,-1.4625180413436523,1.6187084962408838,1.335554815411677,True,3.081226537584536,3.081226537584536
2024-04-24,2327.TW,empirical_returns_60,0.5,-0.900899687991763,1.0362693948589463,2.8006643474328463,False,1.9371690828507093,8.994748893146308
2024-04-24,2327.TW,empirical_returns_60,0.8,-1.4519080225335657,1.6187084962408838,2.8006643474328463,False,3.0706165187744494,14.890175030694078
2024-04-25,2327.TW,empirical_returns_60,0.5,-0.900899687991763,1.0869565217391353,-1.442317055009057,False,1.9878562097308983,4.153525677800074
2024-04-25,2327.TW,empirical_returns_60,0.8,-1.4519080225335657,1.8707470594888198,-1.442317055009057,True,3.3226550820223855,3.3226550820223855
2024-04-26,2327.TW,empirical_returns_60,0.5,-0.9646239227441122,1.0869565217391353,0.0,True,2.0515804444832475,2.0515804444832475
2024-04-26,2327.TW,empirical_returns_60,0.8,-1.4519080225335657,1.8707470594888198,0.0,True,3.3226550820223855,3.3226550820223855
2024-04-29,2327.TW,empirical_returns_60,0.5,-0.9646239227441122,1.0362693948589463,2.6016239678984476,False,2.0008933176030586,8.262311609761063
2024-04-29,2327.TW,empirical_returns_60,0.8,-1.4519080225335657,1.8707470594888198,2.6016239678984476,False,3.3226550820223855,10.631424166118665
2024-04-30,2327.TW,empirical_returns_60,0.5,-0.900899687991763,1.0869565217391353,-0.9508654492294877,False,1.9878562097308983,2.187719254681797
2024-04-30,2327.TW,empirical_returns_60,0.8,-1.4519080225335657,2.120141293652078,-0.9508654492294877,True,3.5720493161856437,3.5720493161856437
2024-05-02,2327.TW,empirical_returns_60,0.5,-0.9508654492294877,1.0869565217391353,0.0,True,2.037821970968623,2.037821970968623
2024-05-02,2327.TW,empirical_returns_60,0.8,-1.4519080225335657,2.120141293652078,0.0,True,3.5720493161856437,3.5720493161856437
2024-05-03,2327.TW,empirical_returns_60,0.5,-0.900899687991763,1.0869565217391353,4.799999949661471,False,1.9878562097308983,16.84002992142024
2024-05-03,2327.TW,empirical_returns_60,0.8,-1.4519080225335657,2.120141293652078,4.799999949661471,False,3.5720493161856437,30.37063587627958
2024-05-06,2327.TW,empirical_returns_60,0.5,-0.900899687991763,1.1090572878570626,0.6106850154164567,True,2.0099569758488256,2.0099569758488256
2024-05-06,2327.TW,empirical_returns_60,0.8,-1.4519080225335657,2.237529436857222,0.6106850154164567,True,3.6894374593907875,3.6894374593907875
2024-05-07,2327.TW,empirical_returns_60,0.5,-0.900899687991763,1.1090572878570626,-0.15174009673125655,True,2.0099569758488256,2.0099569758488256
2024-05-07,2327.TW,empirical_returns_60,0.8,-1.4519080225335657,2.237529436857222,-0.15174009673125655,True,3.6894374593907875,3.6894374593907875
2024-05-08,2327.TW,empirical_returns_60,0.5,-0.900899687991763,1.1090572878570626,0.6079007190920915,True,2.0099569758488256,2.0099569758488256
2024-05-08,2327.TW,empirical_returns_60,0.8,-1.4519080225335657,2.237529436857222,0.6079007190920915,True,3.6894374593907875,3.6894374593907875
2024-05-09,2327.TW,empirical_returns_60,0.5,-0.8591054030073209,1.1090572878570626,-2.11480556371072,False,1.9681626908643834,6.99096333367798
2024-05-09,2327.TW,empirical_returns_60,0.8,-1.4519080225335657,2.237529436857222,-2.11480556371072,False,3.6894374593907875,10.31841287116233
2024-05-10,2327.TW,empirical_returns_60,0.5,-0.900899687991763,1.1090572878570626,-2.006167782023638,False,2.0099569758488256,6.431029351976325
