Date,Close,High,Low,Open,Volume,MA5,MA20,MA60,RSI,MACD,MACD_signal,MACD_hist,BB_upper,BB_mid,BB_lower,Volume_MA20,Volume_ratio,ATR,pct_change,usdtwd_pct,twii_pct,onsemi_pct,vishay_pct
2023-12-13,262.5011901855469,269.0754597071885,256.86610202413976,265.78832494636765,2318000,245.50200500488282,227.68104095458983,231.27029240926106,74.12778464736698,8.228306654074231,3.6583403106168215,4.569966343457409,257.3340594698498,227.68104095458983,198.02802243932987,1020550.0,2.2713242859242566,9.971964132053719,2.007299010385677,0.46316889472772793,0.10486055359522073,3.40604438032166,1.2484136977304106
2023-12-14,267.66668701171875,272.362593801398,262.0315988641036,269.5450497275904,1523000,253.7668029785156,231.10905227661132,231.68655217488606,75.99491701139348,9.974061557462306,4.9214845599859185,5.052576997476388,262.6451708263207,231.10905227661132,199.57293372690197,1081850.0,1.4077737209409806,10.019834906085812,1.9677993926506376,-1.0043531382914583,1.054327258708887,6.353320603243606,4.251683902732273
2023-12-15,265.788330078125,272.3625997267005,263.90996732138916,270.0146462807807,1267000,259.6836456298828,233.7622398376465,232.1476931254069,73.9062305651677,11.078313289830533,6.152850305954841,4.925462983875692,267.62847060040923,233.7622398376465,199.89600907488375,1063550.0,1.191293310140567,9.810874572649219,-0.7017522257117936,0.08762037854230798,0.11759835156519571,-0.6495737902108556,-1.3866302590577861
2023-12-18,260.1532287597656,267.66667940986713,257.8052754316089,265.31872608171045,598000,262.68902587890625,235.68756179809571,232.5218416849772,67.87881359484254,11.367695444610774,7.195819333686028,4.171876110924746,271.0010165217573,235.68756179809571,200.3741070744341,1011950.0,0.5909382874647957,9.81761182673042,-2.120146251982924,0.524301763827939,-0.1235713786054915,-2.206654239319983,-0.8271184438050638
2023-12-19,258.2748718261719,262.50118791060015,254.04855574174363,258.2748718261719,553000,262.8768615722656,237.54244537353514,232.93394571940104,65.9481185989547,11.315032529070919,8.019661972763007,3.295370556307912,273.5373705243342,237.54244537353514,201.54752022273607,979100.0,0.5648044122152998,9.6356145390139,-0.7220194585123907,0.08677068074613992,-0.42759115315066376,1.170004420421522,0.8340167501701412
2023-12-20,270.4842224121094,275.1801290512085,258.27486515045166,260.1532278060913,2039000,264.4734680175781,240.12519302368165,233.51490834554036,71.60221295320153,12.118791459317379,8.839487870073881,3.279303589243497,277.8383222053694,240.12519302368165,202.41206384199387,1057550.0,1.9280412273651364,10.604901120579626,4.727270020350582,-0.33465989557395215,0.33367432683415466,-4.2128862223521075,-1.819687278068216
2023-12-21,256.3965148925781,260.15324038550966,247.94388253348214,252.17019871303012,2411000,262.21943359375,241.95659713745118,233.76411005655925,59.355597852344616,11.486605503287848,9.368911396716676,2.1176941065711716,279.0598894747254,241.95659713745118,204.85330480017694,1144350.0,2.1068728972779307,12.196292954985974,-5.208328749788316,0.12791495872452874,-0.5186161111112364,3.0553202080549235,1.0109652401233626
2023-12-22,256.3965148925781,261.562012445359,254.98774283272877,261.09242175874255,499000,260.3410705566406,243.85843963623046,233.95790278116863,59.355597852344616,10.860401628868203,9.667209443146982,1.1931921857212213,279.74851699977125,243.85843963623046,207.96836227268963,1140600.0,0.43748904085569,11.446689842671878,0.0,-0.3736782960108931,0.30147861455658287,0.4303653362638382,1.5846436047455281
2023-12-25,257.335693359375,262.0316001725023,256.39651199674955,260.15323744725134,313000,259.7775634765625,245.9011589050293,234.05182088216145,59.886069296720834,10.320941016587454,9.797955757835076,0.522985258752378,279.82720492365036,245.9011589050293,211.97511288640825,1133250.0,0.27619677917493934,10.671809620415994,0.3662992327295722,-0.36226354270691985,0.04665088698287967,0.4303653362638382,1.5846436047455281
2023-12-26,258.2748718261719,260.1532345303622,257.3356904740767,257.3356904740767,266000,259.7775634765625,247.96735763549805,234.0283411661784,60.4420752656789,9.855589348857421,9.809482476039546,0.046106872817874844,279.4123686813003,247.96735763549805,216.52234658969584,1134100.0,0.23454721805837228,9.62457421186526,0.36496237833796297,0.127733444468503,0.8343763777672208,1.7378872126501355,0.1642278483319215
2023-12-27,259.68365478515625,267.6666966139947,259.68365478515625,261.5620175684124,751000,257.61744995117186,249.77528228759766,234.06747385660807,61.308401669463315,9.491064724442538,9.745798925720145,-0.25473420127760704,279.40892343496483,249.77528228759766,220.1416411402305,1149150.0,0.6535265196014446,9.593540955326269,0.5454587777058428,-0.5678033131921834,0.7873572184754041,-0.4913983420460899,-0.8196936848823166
2023-12-28,254.04855346679688,265.7883202628596,254.04855346679688,262.0315948881195,716000,257.1478576660156,250.94925918579102,234.05182088216145,56.02323645139911,8.647784475080925,9.526196035592301,-0.8784115605113758,279.20761982643467,250.94925918579102,222.69089854514738,1114200.0,0.642613534374439,9.879704400757795,-2.1699869108132597,-0.31445393355279405,0.1054642742363665,-0.08230416497647663,-0.5371859828566694
2023-12-29,252.17018127441406,255.92690650755245,251.23099996612947,252.63977192855634,280000,256.30259094238284,251.86496047973634,233.95007603963217,54.34158690121275,7.73870291422196,9.168697411318233,-1.4299944970962724,278.9538483562134,251.86496047973634,224.77607260325925,1083200.0,0.258493353028065,9.188531352846486,-0.7393752756117533,-0.4788328985291246,0.11413168589380351,-1.7062891508092815,-0.41544077368331767
2024-01-02,254.04855346679688,260.15323220074947,253.57896279495435,253.57896279495435,461000,255.6451629638672,252.82762145996094,233.95790252685546,55.77132316110027,7.088110835856213,8.752580096225829,-1.664469260369616,278.70363706695366,252.82762145996094,226.9516058529682,1069750.0,0.4309418088338397,9.027800629311676,0.7448827545310621,-0.044000291677548375,-0.4297116466016604,-2.490125537473631,-1.9190705728483137
2024-01-03,256.8660888671875,259.68363280357346,252.1701823065442,252.63977296260853,349000,255.3634063720703,254.21291275024413,234.0361676534017,57.90083946259521,6.722372164394471,8.346538509859558,-1.6241663454650865,277.6008700598636,254.21291275024413,230.82495544062468,1014750.0,0.34392707563439273,8.825887278340687,1.1090539040439218,0.6860424901047546,-1.649228076412912,-2.627378109060352,-1.786479776460892
2024-01-04,261.0924377441406,263.9099820363436,257.33571202120334,260.1532563134063,805000,255.6451629638672,255.809521484375,234.12225952148438,60.93893708777769,6.69636118218682,8.01650304432501,-1.3201418621381897,276.1588032124029,255.809521484375,235.4602397563471,1032100.0,0.7799631818622227,8.588288063782741,1.6453510448155573,0.5275459898703483,-0.055014439343803456,-3.9213222873369924,-1.818975404195644
2024-01-05,254.04855346679688,266.25791093470207,253.10937212311185,261.562004216277,1109000,255.6451629638672,257.19481430053713,234.0596471150716,53.95085251638872,6.037765100701193,7.620755455600246,-1.582990354899053,272.1570092240773,257.19481430053713,242.23261937699695,1073800.0,1.0327807785434904,9.196321496823737,-2.6978507452010025,0.03898027981255048,-0.17384828156632448,-0.6561680052816987,-0.8381200159026547
2024-01-08,252.63978576660156,256.8661018853737,252.17019508673798,254.51814848605585,206000,255.73908386230468,258.01659774780273,233.84833145141602,52.650451694076416,5.340584250510801,7.164721214582357,-1.8241369640715561,269.5331936356894,258.01659774780273,246.50000185991613,1024250.0,0.2011227727605565,8.596266203732005,-0.5545269520219609,-0.3284639253521182,0.3054917612432817,2.9590562529290487,1.7348892551408923
2024-01-09,251.7006072998047,256.396514152413,249.35265387350054,255.45733278189132,296000,255.26949462890624,258.34531173706057,233.77789281209309,51.75483277760048,4.658578359129848,6.663492643491856,-2.004914284362008,268.621226550315,258.34531173706057,248.06939692380612,943950.0,0.31357593092854497,8.389278747089396,-0.371746066814882,-0.7463136321570363,-0.21152131518220596,-1.167569455484041,-2.5360681931086426
2024-01-10,255.9269256591797,256.86610703774545,247.0047025628046,251.70060945563358,607000,255.0816619873047,258.2748733520508,233.70745442708332,55.429104585583225,4.4082962522814455,6.212453365249774,-1.804157112968329,268.5991273769999,258.2748733520508,247.95061932710172,868350.0,0.6990268900788852,8.58556217746959,1.6791053484987994,1.1070581272880409,-0.3983884913753566,-1.84343527385199,0.44863446325167367
2024-01-11,256.3965148925781,263.4403751918248,256.3965148925781,258.7444683256603,644000,254.1424774169922,257.96963958740236,233.69180145263672,55.83160808282149,4.199429397987217,5.809848571797263,-1.6104191738100466,268.1274125931149,257.96963958740236,247.8118665816898,784650.0,0.8207481042503026,8.442613824826324,0.18348566966486235,0.18254264271539977,0.45626438441657147,-1.5606405179875549,0.9379128054056052
2024-01-12,253.57896423339844,257.80528030395504,253.57896423339844,256.3965082804362,217000,254.0485595703125,257.2652534484863,233.6683219909668,52.753339282603044,3.763168654454745,5.40051258832876,-1.637343933874015,266.5039452985824,257.2652534484863,248.02656159839023,719350.0,0.30166122193647044,7.8804407909236955,-1.0989036494353899,-0.7192046382251016,-0.18517891834584077,-1.2898012636524236,-0.8407158967707606
2024-01-15,258.7444763183594,261.56202052509286,255.45734141050363,255.45734141050363,476682,255.26949768066407,256.91306076049807,233.79354654947917,57.391530703789805,3.790547455849776,5.078519561832963,-1.2879721059831875,265.2795761013266,256.91306076049807,248.5465454196695,679834.1,0.7011740070114165,7.894122857693127,2.0370428203999147,0.587818268824547,0.19408761589856383,-1.2898012636524236,-0.8407158967707606
2024-01-16,253.109375,259.6836444805195,252.17019364564007,259.6836444805195,549000,255.55125122070314,256.5608680725098,233.82485275268556,51.456893882163946,3.319277209827476,4.726671091431866,-1.4073938816043903,264.94609057423344,256.5608680725098,248.17564557078614,677384.1,0.8104707506420656,7.843366587984633,-2.1778634267059505,0.38422436149399,-1.1395293752028635,0.44916540842754316,-0.535464218144277
