date,mae_new,accuracy_new,mae_old,accuracy_old,historical_advantage_pp,use_new,selected_mae
2024-04-19,2.791167740604997,0.5,2.791167740604997,0.5,,False,2.791167740604997
2024-04-22,2.821752593596951,0.6,3.021406563786324,0.6,,False,3.021406563786324
2024-04-23,1.2279546967264185,0.3,1.044853445235398,0.3,,False,1.044853445235398
2024-04-24,4.061340588568998,0.4,4.198309275698184,0.4,,False,4.198309275698184
2024-04-25,1.394400972010213,0.5,1.3511901532859532,0.6,,False,1.3511901532859532
2024-04-26,0.9517797301893427,0.5,1.0417647274418194,0.6,,False,1.0417647274418194
2024-04-29,2.337009308364226,0.6,2.3356393370909077,0.6,,False,2.3356393370909077
2024-04-30,0.7890609483555245,0.7,0.7403112007823409,0.7,,False,0.7403112007823409
2024-05-02,1.0972542941034993,0.5,1.0436458910371063,0.6,,False,1.0436458910371063
2024-05-03,2.0549560145878973,0.6,2.0201052133648205,0.7,,False,2.0201052133648205
2024-05-06,1.4047511936992316,0.3,1.4777463981601158,0.3,,False,1.4777463981601158
2024-05-07,1.017518314224739,0.3,1.0954719735993073,0.3,,False,1.0954719735993073
2024-05-08,0.6381222889225322,0.7,0.6481673131816751,0.6,,False,0.6481673131816751
2024-05-09,1.006076616417583,0.7,0.9771885831333673,0.7,,False,0.9771885831333673
2024-05-10,1.0423838344233554,0.4,1.0680201913762917,0.3,,False,1.0680201913762917
2024-05-13,0.8097458116321743,0.6,0.8191088086458251,0.6,,False,0.8191088086458251
2024-05-14,0.6402470372137499,0.5,0.6267358120270039,0.5,,False,0.6267358120270039
2024-05-15,0.882458109228876,0.4,0.8883843696547974,0.4,,False,0.8883843696547974
2024-05-16,1.1374925543703953,0.4,1.1331740230569662,0.4,,False,1.1331740230569662
2024-05-17,0.7331014420465225,0.5,0.7319834099956654,0.5,,False,0.7319834099956654
2024-05-20,0.6696878679748831,0.8,0.6598734710606681,0.7,0.010790017093581966,True,0.6696878679748831
2024-05-21,0.5713378679726435,0.3,0.5726699862718726,0.3,0.010299297247871214,True,0.5713378679726435
2024-05-22,1.3973933552100593,0.3,1.4196791102605304,0.3,0.0003832046533640221,True,1.3973933552100593
2024-05-23,0.8726493967743375,0.6,0.8515400112156742,0.6,0.01065255498043861,True,0.8726493967743375
2024-05-24,2.19803165408594,0.5,2.1815696934171327,0.5,0.002748651346046149,True,2.19803165408594
2024-05-27,2.802044193526889,0.2,2.8479508071645583,0.2,0.0040860942488187835,True,2.802044193526889
2024-05-28,1.4078388049839912,0.2,1.4728296814566937,0.2,0.0018821750680784067,True,1.4078388049839912
2024-05-29,0.7654948065850047,0.5,0.5613411193826181,0.6,0.005200217455379441,True,0.7654948065850047
2024-05-30,1.7209482645820402,0.6,1.7210522418119225,0.5,-0.002569979526080707,False,1.7210522418119225
2024-05-31,0.8973318248602575,0.5,0.8472957463605377,0.5,0.0001156394887330603,True,0.8973318248602575
2024-06-03,0.7369359038996481,0.9,0.6976395604431664,0.9,-0.0006436243750990889,False,0.6976395604431664
2024-06-04,0.8463520557990997,0.5,0.8470692986288914,0.5,-0.006258201770967381,False,0.8470692986288914
2024-06-05,1.087609810103578,0.4,1.091490395838827,0.4,-0.010120022598206208,False,1.091490395838827
2024-06-06,1.787460005875054,0.8,1.7785758348759775,0.8,-0.01042824452440091,False,1.7785758348759775
2024-06-07,1.8456898405484217,0.7,1.864573056884738,0.8,-0.009428051410143957,False,1.864573056884738
2024-06-11,1.5410187437402343,0.6,1.5307134365701767,0.7,-0.009765708440974952,False,1.5307134365701767
2024-06-12,0.6647899425025912,0.6,0.6904057906637846,0.7,-0.010749123650160375,False,0.6904057906637846
2024-06-13,1.1515307656600355,0.8,1.1505522227214278,0.8,-0.008792769982763404,False,1.1505522227214278
2024-06-14,2.2894534382124374,0.4,2.3179695164139362,0.3,-0.009138010150989861,False,2.3179695164139362
2024-06-17,2.374181964679919,0.6,2.4051277257678563,0.5,-0.007496279675243467,False,2.4051277257678563
2024-06-18,1.2850878872296316,0.5,1.2850271313007562,0.5,-0.005893090018303754,False,1.2850271313007562
2024-06-19,1.8834763674256334,0.5,1.8807361300235166,0.4,-0.005405407969036774,False,1.8807361300235166
2024-06-20,0.9748077995129784,0.6,0.9733819726246692,0.6,-0.005609025754104069,False,0.9733819726246692
2024-06-21,2.3355714057329786,0.6,2.3557720122200236,0.6,-0.006794604851043084,False,2.3557720122200236
2024-06-24,1.5434678317053578,0.5,1.549865959609218,0.5,-0.00472910524875767,False,1.549865959609218
2024-06-25,1.2967288640087162,0.4,1.344366404115111,0.4,-0.003586100820124305,False,1.344366404115111
2024-06-26,0.684976690757111,0.7,0.6512248456066076,0.6,-0.0034995544966880177,False,0.6512248456066076
2024-06-27,1.3110469425679292,0.2,1.3127409836648212,0.2,-0.008436690577848311,False,1.3127409836648212
2024-06-28,2.515234010310271,0.4,2.4836999754809588,0.5,0.0018556958371156174,True,2.515234010310271
2024-07-01,2.6663534424455158,0.5,2.7123658318470194,0.5,0.0002737952341558991,True,2.6663534424455158
2024-07-02,1.127639094193293,0.4,0.9542308824261061,0.4,0.005076218629217072,True,1.127639094193293
2024-07-03,2.6997246158803128,0.5,2.704423980986708,0.5,-0.0016293747863181884,False,2.704423980986708
2024-07-04,1.83454615765736,0.4,1.9058367788035002,0.4,-0.0014302686724880053,False,1.9058367788035002
2024-07-05,1.2279684735989367,0.3,1.3840356998027068,0.2,0.0019402330980565596,True,1.2279684735989367
2024-07-08,1.587191727929078,0.6,1.5468198685653891,0.6,0.010187802958198895,True,1.587191727929078
2024-07-09,2.068877225587396,0.2,2.090902043361517,0.2,0.007225049173198633,True,2.068877225587396
2024-07-10,1.660097242053999,0.6,1.6002654917905392,0.6,0.00884155542040756,True,1.660097242053999
2024-07-11,2.2614726221703028,0.5,2.2896804572148985,0.5,0.004569175499174899,True,2.2614726221703028
2024-07-12,1.3578080987207808,0.4,1.2735403384846087,0.6,0.006028494398335077,True,1.3578080987207808
2024-07-15,1.6643589867641535,0.8,1.6728127960497587,0.7,0.0003893024764515307,True,1.6643589867641535
2024-07-16,1.5355404342322785,0.7,1.5829324590945362,0.7,-0.0007352951136650632,False,1.5829324590945362
2024-07-17,0.8577662761333673,0.7,0.8228714904280137,0.7,0.0016373439258915933,True,0.8577662761333673
2024-07-18,1.4037974267243087,0.8,1.423667857362042,0.8,2.961651072975191e-05,True,1.4037974267243087
