Date,Close,High,Low,Open,Volume,MA5,MA20,MA60,RSI,MACD,MACD_signal,MACD_hist,BB_upper,BB_mid,BB_lower,Volume_MA20,Volume_ratio,ATR,pct_change,usdtwd_pct,twii_pct,murata_pct,tdk_pct
2023-12-20,65.62325286865234,66.99612432601147,65.53172950138547,66.63003085694396,1165148,67.05103454589843,63.632586288452146,56.31365648905436,65.7161900227311,3.006977081669014,3.1177942465982076,-0.1108171649291938,71.27392982315115,63.632586288452146,55.99124275375314,3061431.5,0.3805892766178175,1.7029643340882428,-0.6925131318990418,-0.33465989557395215,0.33367432683415466,0.17680639486283845,2.2539462636961938
2023-12-21,64.98257446289062,65.89782199053697,64.79952775047515,65.07409781909837,1197100,66.41036224365234,64.14512500762939,56.48450272878011,61.96798357322305,2.7564351523556283,3.0455224277496917,-0.2890872753940634,70.54738902297495,64.14512500762939,57.742860992283816,3112485.65,0.38461221499928844,1.6223416548847196,-0.9762978483313867,0.12791495872452874,-0.5186161111112364,-0.705968298123183,-1.3960300270427495
2023-12-22,64.89105224609375,65.62324609139661,64.70799854767958,65.34867601795226,754220,65.67816467285157,64.57071533203126,56.66907761891683,61.42897518372611,2.521428334005428,2.940703609000839,-0.4192752749954112,69.82874499946263,64.57071533203126,59.31268566459988,3084450.05,0.2445233308284568,1.5280624400623608,-0.14084116788746215,-0.3736782960108931,0.30147861455658287,1.0131420976176697,-0.044722893065618496
2023-12-25,64.70799255371094,65.44019331397388,64.70799255371094,64.98256958450553,431223,65.25714874267578,64.97342376708984,56.85212694803874,60.29920367567737,2.2939689044639877,2.811356668093469,-0.5173877636294812,68.6845976085196,64.97342376708984,61.26224992566009,3035453.45,0.14206213572473,1.4219475494224383,-0.2821031344792724,-0.36226354270691985,0.04665088698287967,0.809438229309456,-0.7305761709260561
2023-12-26,64.98257446289062,65.34867487050606,64.52495069906746,65.07409781909837,586538,65.03748931884766,65.22511653900146,57.03975264231364,61.44462728174219,2.111521823880743,2.6713896992509243,-0.5598678753701813,68.08707371048584,65.22511653900146,62.36315936751709,2799008.95,0.2095520273345321,1.3421844323579264,0.4243400209823722,0.127733444468503,0.8343763777672208,1.0123977559789887,0.750980116998412
2023-12-27,65.44020080566406,66.17240164975043,65.16562374343548,65.62324752529327,1091648,65.00087890625,65.29376010894775,57.23195463816325,63.34285922684508,1.9810218328315798,2.5333161259670556,-0.5522942931354757,68.10418603465381,65.29376010894775,62.483334183241695,2248562.2,0.4854871259509743,1.3218701329581763,0.7042293207924155,-0.5678033131921834,0.7873572184754041,1.8316979410633705,1.058441171525626
2023-12-28,65.44020080566406,66.17240164975043,65.44020080566406,65.89782458752185,820667,65.09240417480468,65.38986091613769,57.42415663401286,63.34285922684508,1.8562025027180482,2.397893401317254,-0.5416908985992057,68.07321762604826,65.38986091613769,62.70650420622713,2050559.05,0.40021622396097295,1.2432475611086016,0.0,-0.31445393355279405,0.1054642742363665,2.1890338704401158,-1.0621145531203302
2023-12-29,65.98934936523438,66.26392643336273,64.5249546283813,65.62324893532488,1924700,65.31206359863282,65.48138542175293,57.63313814798991,65.69351377440682,1.781062998090917,2.2745273206719867,-0.49346432258106976,68.11231089262803,65.48138542175293,62.85045995087784,2000063.0,0.9623196869298617,1.3093441269583124,0.8391608717722265,-0.4788328985291246,0.11413168589380351,-0.597811341231802,0.14911770600525287
2024-01-02,64.70799255371094,66.44696412224745,64.70799255371094,66.35544077291057,604278,65.31206359863282,65.5179946899414,57.814662043253584,56.576886796668965,1.5996795038245892,2.1395577573025073,-0.5398782534779181,68.08018815418703,65.5179946899414,62.95580122569577,1932423.6,0.31270472995672377,1.366627785835406,-1.941763063053481,-0.044000291677548375,-0.4297116466016604,-0.597811341231802,0.14911770600525287
2024-01-03,64.15885925292969,65.16563027740591,64.15885925292969,64.7080064496635,709400,65.14732055664062,65.52257118225097,57.99313538869222,53.1713781071886,1.3955344572137207,1.99075309728475,-0.5952186400710293,68.07415968193514,65.52257118225097,62.970982682566806,1868040.55,0.3797562103242352,1.318646884320848,-0.8486328799729659,0.6860424901047546,-1.649228076412912,-0.597811341231802,0.14911770600525287
