Date,Close,High,Low,Open,Volume
2023-11-01,13061.4697265625,13072.419921875,12875.2001953125,12887.0595703125,4545120000
2023-11-02,13294.1904296875,13302.1796875,13177.6396484375,13230.490234375,4962950000
2023-11-03,13478.2802734375,13520.2802734375,13344.73046875,13362.849609375,4918750000
2023-11-06,13518.7802734375,13551.6201171875,13435.990234375,13514.080078125,4345850000
2023-11-07,13639.8603515625,13675.4599609375,13516.5595703125,13555.7900390625,4354460000
2023-11-08,13650.41015625,13684.8701171875,13573.580078125,13660.2197265625,4685550000
2023-11-09,13521.4501953125,13697.8203125,13506.01953125,13693.7001953125,5313970000
2023-11-10,13798.1103515625,13802.5302734375,13556.349609375,13571.1904296875,4722140000
2023-11-13,13767.740234375,13805.1103515625,13687.7802734375,13745.9599609375,4349590000
2023-11-14,14094.3798828125,14124.0595703125,14003.1396484375,14015.3701171875,5332490000
2023-11-15,14103.83984375,14194.3603515625,14060.7001953125,14147.26953125,5063830000
2023-11-16,14113.669921875,14130.4501953125,14033.7900390625,14066.8798828125,4545180000
2023-11-17,14125.48046875,14154.3203125,14063.9296875,14101.4404296875,4408640000
2023-11-20,14284.5302734375,14309.7998046875,14134.2001953125,14134.75,4561810000
2023-11-21,14199.98046875,14237.5,14146.3095703125,14217.23046875,4128600000
2023-11-22,14265.8603515625,14359.6103515625,14226.6298828125,14283.8203125,3855240000
2023-11-24,14250.849609375,14270.2802734375,14214.1298828125,14238.0400390625,2541840000
2023-11-27,14241.01953125,14305.7099609375,14205.240234375,14239.3095703125,4205880000
2023-11-28,14281.759765625,14303.66015625,14195.7197265625,14224.6298828125,4474400000
2023-11-29,14258.490234375,14423.2197265625,14247.8896484375,14367.1103515625,4890220000
2023-11-30,14226.2197265625,14289.2001953125,14127.0498046875,14265.0498046875,5678070000
2023-12-01,14305.0302734375,14311.9501953125,14135.0,14181.349609375,5607000000
2023-12-04,14185.490234375,14197.51953125,14058.51953125,14168.66015625,6270020000
2023-12-05,14229.91015625,14285.66015625,14121.759765625,14126.400390625,6179120000
2023-12-06,14146.7099609375,14327.6298828125,14138.509765625,14325.6201171875,5167030000
2023-12-07,14339.990234375,14353.1103515625,14220.8701171875,14230.4296875,5694310000
2023-12-08,14403.9697265625,14416.919921875,14264.9599609375,14279.4599609375,5430840000
2023-12-11,14432.490234375,14436.080078125,14324.5703125,14340.1298828125,5607820000
2023-12-12,14533.400390625,14533.400390625,14385.3896484375,14423.009765625,4950100000
2023-12-13,14733.9599609375,14743.5498046875,14517.51953125,14555.6796875,6732040000
2023-12-14,14761.5595703125,14855.6201171875,14642.23046875,14798.7197265625,8033170000
2023-12-15,14813.919921875,14848.400390625,14753.16015625,14797.4599609375,8377630000
2023-12-18,14904.8095703125,14938.0400390625,14811.8203125,14814.01953125,5866080000
2023-12-19,15003.2197265625,15003.7998046875,14921.599609375,14923.01953125,5757180000
2023-12-20,14777.9404296875,15069.2900390625,14776.2900390625,14973.3603515625,6294700000
2023-12-21,14963.8701171875,14970.8095703125,14837.4697265625,14923.1396484375,5465640000
2023-12-22,14992.9697265625,15047.1904296875,14927.1201171875,15006.1796875,4796600000
