Date,Close,High,Low,Open,Volume
2023-11-01,21.10399055480957,21.12281702538495,20.539209005285493,20.86866505879046,1334600
2023-11-02,21.71583366394043,21.725246898005103,21.235769498987096,21.565225509687323,1546000
2023-11-03,22.23355484008789,22.393576257734175,21.941749916773922,22.082944862840375,2238600
2023-11-06,21.678184509277344,21.922923231209868,21.659358039423076,21.79113973762098,991800
2023-11-07,21.621706008911133,21.744076272718576,21.489924305171783,21.64994571488002,945100
2023-11-08,21.009859085083008,21.791139626127887,20.765120364402673,21.056925259477865,1567200
2023-11-09,20.05914306640625,21.198119303558556,20.03090515834364,21.01927143913479,1534600
2023-11-10,20.586275100708008,20.614513011068897,19.908536525789888,20.266232283750238,1226900
2023-11-13,20.153276443481445,20.43566633607388,20.021494732990462,20.28505815397243,1196900
2023-11-14,21.10399055480957,21.16046817114466,20.793360971879984,20.812187442455368,2340000
2023-11-15,21.37696647644043,21.77231336824972,21.066336903975344,21.11340307882823,1182100
2023-11-16,21.019271850585938,21.311074943753972,20.859250451998772,21.216946187848173,788400
2023-11-17,21.16988182067871,21.179295056150597,21.000447172966933,21.16988182067871,1205300
2023-11-20,21.38637924194336,21.480509794191814,21.038098532632315,21.16988022854558,795400
2023-11-21,20.962791442871094,21.28283419737223,20.943964976043805,21.226354796890362,787500
2023-11-22,20.953384399414062,21.35814457881978,20.925144690830678,21.16047020951854,871300
2023-11-24,20.991031646728516,21.094575430228367,20.87807642417494,20.896902893064166,331800
2023-11-27,21.26401138305664,21.33931546791006,20.746296024113263,20.840424783636784,1268300
2023-11-28,21.038101196289062,21.34873080126445,20.98162357594568,21.160469672931594,999900
2023-11-29,21.12281608581543,21.574640587180546,21.103989616077474,21.311075397022076,897700
2023-11-30,20.925140380859375,21.39579132129467,20.86866277071658,21.27342286675347,1402100
2023-12-01,21.245189666748047,21.38638463301764,20.718060954825564,20.915733548524717,1083400
2023-12-04,21.35814094543457,21.36755418002768,20.87807675353152,21.151053375168008,1034600
2023-12-05,21.00044822692871,21.282839919084594,20.90631766287675,21.254600211251653,1095200
2023-12-06,21.05692481994629,21.508749312359914,21.05692481994629,21.264010596788133,664900
2023-12-07,21.518163681030273,21.546401591174902,21.00044651855603,21.188707631345032,907600
2023-12-08,21.772314071655273,22.10177012470536,21.46168448915457,21.46168448915457,1279300
2023-12-11,22.07353401184082,22.261793346492535,21.74407793196132,21.74407793196132,1148000
2023-12-12,21.9600887298584,22.15860962975635,21.83719621322054,21.988449373580934,1006500
2023-12-13,22.23423957824707,22.385492761521117,21.591412647792282,21.941184957958455,1333300
2023-12-14,23.179574966430664,23.236294464505423,22.47057492971498,22.593467476057018,1973600
2023-12-15,22.858156204223633,23.36863517541011,22.79198317120686,23.36863517541011,1871100
2023-12-18,22.669090270996094,22.71635801402788,22.347676830700067,22.68799736820881,1419600
2023-12-19,22.858156204223633,22.99995581827099,22.744715431137795,22.820342012168382,1097000
2023-12-20,22.442211151123047,22.962145520760522,22.423304053373304,22.697451561504348,1162600
2023-12-21,22.669090270996094,22.773077502585995,22.48002470810904,22.71635801402788,793700
2023-12-22,23.028316497802734,23.10394307894987,22.754169014219404,22.80143675436132,1614400
2023-12-26,23.066131591796875,23.27410606665057,23.03777274746601,23.160665280086725,623600
2023-12-27,22.877065658569336,23.085038327072656,22.744717775812582,23.085038327072656,1584300
2023-12-28,22.75417137145996,22.91487809843119,22.64073238952739,22.80143911649862,819500
2023-12-29,22.659635543823242,22.933783029908632,22.65018199570858,22.706903284396553,1061500
2024-01-02,22.22478675842285,22.612373278669917,22.177519010173068,22.44221299113116,1181300
2024-01-03,21.827749252319336,21.99790955984439,21.70485489551549,21.95064180604274,1161500
2024-01-04,21.430706024169922,21.723758842868765,21.336172333372826,21.638678701459394,877600
2024-01-05,21.251089096069336,21.506329483113603,21.213276707107177,21.269996192090375,858100
2024-01-08,21.61977195739746,21.685944995598266,21.251090768295743,21.26054431705015,712500
2024-01-09,21.07147979736328,21.32671841408423,21.03366560046824,21.22273297878316,541500
2024-01-10,21.1660099029541,21.17546345138263,20.816237626498566,21.03366383111471,761500
2024-01-11,21.364532470703125,21.383439569026507,20.920224675504365,21.080931405092826,1001700
2024-01-12,21.184919357299805,21.66703956232577,21.13765341297734,21.657586012845236,579400
