window,ticker,index,bucket,target,n,days,follow,mean_tw,correlation
all,2327.TW,sp500,down,close_to_close,273,273,0.5567765567765568,-0.5798366740860579,0.21176156622620715
all,2327.TW,sp500,down,gap,273,273,0.5274725274725275,-0.4779988508252207,0.43171386548445895
all,2327.TW,sp500,down,intraday,273,273,0.5274725274725275,-0.10168435903443541,-0.09210479240798611
all,2327.TW,sp500,big_up,close_to_close,11,11,0.8181818181818182,2.666183287403785,0.758680364315947
all,2327.TW,sp500,big_up,gap,11,11,1.0,2.8188505505476162,0.8758321449310339
all,2327.TW,sp500,big_up,intraday,11,11,0.36363636363636365,-0.14655850721306313,0.003657950531918295
all,2327.TW,sp500,big_down,close_to_close,11,11,0.7272727272727273,-2.0475096613944603,0.4950724850763294
all,2327.TW,sp500,big_down,gap,11,11,0.9090909090909091,-3.4696016239678062,0.4739637955452057
all,2327.TW,sp500,big_down,intraday,11,11,0.36363636363636365,1.5349610390887072,-0.019544030578769023
all,2472.TW,sox,up,close_to_close,361,361,0.5318559556786704,0.6452059597312533,0.17126507516342918
all,2472.TW,sox,up,gap,361,361,0.814404432132964,0.9659986640859438,0.3713638170588586
all,2472.TW,sox,up,intraday,361,361,0.4099722991689751,-0.3181919865387865,-0.039619655473320886
all,2472.TW,sox,down,close_to_close,264,264,0.4962121212121212,-0.32196324337512783,0.2520285925076533
all,2472.TW,sox,down,gap,264,264,0.5303030303030303,-0.47599481984156483,0.4971910839436168
all,2472.TW,sox,down,intraday,264,264,0.4734848484848485,0.15481036270980683,-0.03369249675737048
all,2472.TW,sox,big_up,close_to_close,126,126,0.5714285714285714,0.8381726960501071,0.2726609844554358
all,2472.TW,sox,big_up,gap,126,126,0.9126984126984127,1.3435096969190463,0.4862810789586241
all,2472.TW,sox,big_up,intraday,126,126,0.3968253968253968,-0.5009571372953627,-0.030580222518163277
all,2472.TW,sox,big_down,close_to_close,97,97,0.6082474226804123,-1.2150311659039235,0.1894302288192014
all,2472.TW,sox,big_down,gap,97,97,0.7835051546391752,-1.3590579500998672,0.48139907754288813
all,2472.TW,sox,big_down,intraday,97,97,0.4742268041237113,0.15520008409641042,-0.09880589021113179
all,2472.TW,nasdaq,up,close_to_close,359,359,0.5292479108635098,0.6413489462502423,0.21198945881543252
all,2472.TW,nasdaq,up,gap,359,359,0.8189415041782729,0.9268681418758411,0.3539682854916234
all,2472.TW,nasdaq,up,intraday,359,359,0.4178272980501393,-0.2826012892541268,0.012760508736308388
all,2472.TW,nasdaq,down,close_to_close,266,266,0.5,-0.3094857762852945,0.24837893151948945
all,2472.TW,nasdaq,down,gap,266,266,0.5300751879699248,-0.41234126931042997,0.46788937827626353
all,2472.TW,nasdaq,down,intraday,266,266,0.48872180451127817,0.10321989269593464,-0.011449336474169626
all,2472.TW,nasdaq,big_up,close_to_close,32,32,0.75,2.2644790727483235,0.31937067285040865
all,2472.TW,nasdaq,big_up,gap,32,32,0.96875,2.205370296035391,0.548985695693984
all,2472.TW,nasdaq,big_up,intraday,32,32,0.5,0.057408032148553,-0.07801342394247372
all,2472.TW,nasdaq,big_down,close_to_close,34,34,0.6764705882352942,-2.0386587605067628,0.2916913068736758
all,2472.TW,nasdaq,big_down,gap,34,34,0.9117647058823529,-2.2037491012816184,0.6395283974036994
all,2472.TW,nasdaq,big_down,intraday,34,34,0.4117647058823529,0.18871875531371363,-0.23023344633396087
all,2472.TW,sp500,up,close_to_close,352,352,0.5397727272727273,0.6829399109278959,0.19927827669738943
all,2472.TW,sp500,up,gap,352,352,0.8153409090909091,0.9124185532506334,0.371760886589459
all,2472.TW,sp500,up,intraday,352,352,0.42613636363636365,-0.2255088835288001,-0.006107742517978429
all,2472.TW,sp500,down,close_to_close,273,273,0.5091575091575091,-0.3387318440830427,0.20694702784038177
all,2472.TW,sp500,down,gap,273,273,0.5164835164835165,-0.3593715950453128,0.4434413329974528
all,2472.TW,sp500,down,intraday,273,273,0.5054945054945055,0.019713390538552176,-0.06269609722975931
all,2472.TW,sp500,big_up,close_to_close,11,11,0.8181818181818182,2.6882719428484596,0.8073676785680569
all,2472.TW,sp500,big_up,gap,11,11,1.0,2.5443039658183793,0.923057275263395
all,2472.TW,sp500,big_up,intraday,11,11,0.5454545454545454,0.14410116410017337,0.011435627665136939
all,2472.TW,sp500,big_down,close_to_close,11,11,0.6363636363636364,-2.582689106287864,0.518010959289232
