date,ticker,target,method,train_end,training_n,phase,predicted_pct,actual_pct,abs_error_pp,correct,us_session
2024-04-19,2472.TW,close_to_close,zero,2024-04-18,60,validation,0.0,-2.4456522662439584,2.4456522662439584,False,2024-04-18
2024-04-19,2472.TW,close_to_close,sox_copy,2024-04-18,60,validation,-1.6552433858525228,-2.4456522662439584,0.7904088803914355,True,2024-04-18
2024-04-19,2472.TW,close_to_close,price,2024-04-18,60,validation,0.03695654278789451,-2.4456522662439584,2.482608809031853,False,2024-04-18
2024-04-19,2472.TW,close_to_close,us_only,2024-04-18,60,validation,0.010860684168857626,-2.4456522662439584,2.456512950412816,False,2024-04-18
2024-04-19,2472.TW,close_to_close,price_us,2024-04-18,60,validation,-0.059328595646204144,-2.4456522662439584,2.386323670597754,True,2024-04-18
2024-04-19,2472.TW,close_to_close,price_us_peers,2024-04-18,60,validation,-0.059328595646204144,-2.4456522662439584,2.386323670597754,True,2024-04-18
2024-04-19,2472.TW,gap,zero,2024-04-18,60,validation,0.0,-0.5434867286697842,0.5434867286697842,False,2024-04-18
2024-04-19,2472.TW,gap,sox_copy,2024-04-18,60,validation,-1.6552433858525228,-0.5434867286697842,1.1117566571827386,True,2024-04-18
2024-04-19,2472.TW,gap,price,2024-04-18,60,validation,0.17023060667666404,-0.5434867286697842,0.7137173353464482,False,2024-04-18
2024-04-19,2472.TW,gap,us_only,2024-04-18,60,validation,0.10720426348582193,-0.5434867286697842,0.6506909921556061,False,2024-04-18
2024-04-19,2472.TW,gap,price_us,2024-04-18,60,validation,0.03706777548453475,-0.5434867286697842,0.580554504154319,False,2024-04-18
2024-04-19,2472.TW,gap,price_us_peers,2024-04-18,60,validation,0.03706777548453475,-0.5434867286697842,0.580554504154319,False,2024-04-18
2024-04-19,2472.TW,intraday,zero,2024-04-18,60,validation,0.0,-1.9125600476107674,1.9125600476107674,False,2024-04-18
2024-04-19,2472.TW,intraday,sox_copy,2024-04-18,60,validation,-1.6552433858525228,-1.9125600476107674,0.2573166617582445,True,2024-04-18
2024-04-19,2472.TW,intraday,price,2024-04-18,60,validation,-0.1355798973901315,-1.9125600476107674,1.776980150220636,True,2024-04-18
2024-04-19,2472.TW,intraday,us_only,2024-04-18,60,validation,-0.09648383020779157,-1.9125600476107674,1.8160762174029759,True,2024-04-18
2024-04-19,2472.TW,intraday,price_us,2024-04-18,60,validation,-0.09640130243221558,-1.9125600476107674,1.8161587451785517,True,2024-04-18
2024-04-19,2472.TW,intraday,price_us_peers,2024-04-18,60,validation,-0.09640130243221558,-1.9125600476107674,1.8161587451785517,True,2024-04-18
2024-04-22,2472.TW,close_to_close,zero,2024-04-19,61,validation,0.0,-1.949864669646606,1.949864669646606,False,2024-04-19
2024-04-22,2472.TW,close_to_close,sox_copy,2024-04-19,61,validation,-4.115133108715252,-1.949864669646606,2.165268439068646,True,2024-04-19
