date,ticker,target,method,train_end,training_n,phase,predicted_pct,actual_pct,abs_error_pp,correct,us_session
2024-04-19,2492.TW,close_to_close,zero,2024-04-18,60,validation,0.0,-2.347420680638934,2.347420680638934,False,2024-04-18
2024-04-19,2492.TW,close_to_close,sox_copy,2024-04-18,60,validation,-1.6552433858525228,-2.347420680638934,0.6921772947864113,True,2024-04-18
2024-04-19,2492.TW,close_to_close,price,2024-04-18,60,validation,-0.6885352174754131,-2.347420680638934,1.658885463163521,True,2024-04-18
2024-04-19,2492.TW,close_to_close,us_only,2024-04-18,60,validation,0.13369760258045443,-2.347420680638934,2.4811182832193888,False,2024-04-18
2024-04-19,2492.TW,close_to_close,price_us,2024-04-18,60,validation,-0.5739855802094062,-2.347420680638934,1.773435100429528,True,2024-04-18
2024-04-19,2492.TW,close_to_close,price_us_peers,2024-04-18,60,validation,-0.5739855802094062,-2.347420680638934,1.773435100429528,True,2024-04-18
2024-04-19,2492.TW,gap,zero,2024-04-18,60,validation,0.0,-0.938970017378904,0.938970017378904,False,2024-04-18
2024-04-19,2492.TW,gap,sox_copy,2024-04-18,60,validation,-1.6552433858525228,-0.938970017378904,0.7162733684736189,True,2024-04-18
2024-04-19,2492.TW,gap,price,2024-04-18,60,validation,0.22182857711252243,-0.938970017378904,1.1607985944914263,False,2024-04-18
2024-04-19,2492.TW,gap,us_only,2024-04-18,60,validation,0.20160203661664972,-0.938970017378904,1.1405720539955537,False,2024-04-18
2024-04-19,2492.TW,gap,price_us,2024-04-18,60,validation,-0.01414258646198421,-0.938970017378904,0.9248274309169198,True,2024-04-18
2024-04-19,2492.TW,gap,price_us_peers,2024-04-18,60,validation,-0.01414258646198421,-0.938970017378904,0.9248274309169198,True,2024-04-18
2024-04-19,2492.TW,intraday,zero,2024-04-18,60,validation,0.0,-1.4218009478673022,1.4218009478673022,False,2024-04-18
2024-04-19,2492.TW,intraday,sox_copy,2024-04-18,60,validation,-1.6552433858525228,-1.4218009478673022,0.23344243798522069,True,2024-04-18
2024-04-19,2492.TW,intraday,price,2024-04-18,60,validation,-0.9097730844373701,-1.4218009478673022,0.512027863429932,True,2024-04-18
2024-04-19,2492.TW,intraday,us_only,2024-04-18,60,validation,-0.07208535055767357,-1.4218009478673022,1.3497155973096286,True,2024-04-18
2024-04-19,2492.TW,intraday,price_us,2024-04-18,60,validation,-0.5628387803549583,-1.4218009478673022,0.8589621675123439,True,2024-04-18
2024-04-19,2492.TW,intraday,price_us_peers,2024-04-18,60,validation,-0.5628387803549583,-1.4218009478673022,0.8589621675123439,True,2024-04-18
2024-04-22,2492.TW,close_to_close,zero,2024-04-19,61,validation,0.0,2.4038491323019384,2.4038491323019384,False,2024-04-19
2024-04-22,2492.TW,close_to_close,sox_copy,2024-04-19,61,validation,-4.115133108715252,2.4038491323019384,6.5189822410171905,False,2024-04-19
2024-04-22,2492.TW,close_to_close,price,2024-04-19,61,validation,-0.6216088524593022,2.4038491323019384,3.025457984761241,False,2024-04-19
2024-04-22,2492.TW,close_to_close,us_only,2024-04-19,61,validation,1.0273014493889974,2.4038491323019384,1.376547682912941,True,2024-04-19
2024-04-22,2492.TW,close_to_close,price_us,2024-04-19,61,validation,0.4882143715372256,2.4038491323019384,1.9156347607647128,True,2024-04-19
2024-04-22,2492.TW,close_to_close,price_us_peers,2024-04-19,61,validation,0.4882143715372256,2.4038491323019384,1.9156347607647128,True,2024-04-19
2024-04-22,2492.TW,gap,zero,2024-04-19,61,validation,0.0,0.4807721532916087,0.4807721532916087,False,2024-04-19
2024-04-22,2492.TW,gap,sox_copy,2024-04-19,61,validation,-4.115133108715252,0.4807721532916087,4.595905262006861,False,2024-04-19
2024-04-22,2492.TW,gap,price,2024-04-19,61,validation,0.386624846025644,0.4807721532916087,0.09414730726596471,True,2024-04-19
2024-04-22,2492.TW,gap,us_only,2024-04-19,61,validation,-0.38180820433987234,0.4807721532916087,0.862580357631481,False,2024-04-19
2024-04-22,2492.TW,gap,price_us,2024-04-19,61,validation,-0.19347569196370926,0.4807721532916087,0.674247845255318,False,2024-04-19
2024-04-22,2492.TW,gap,price_us_peers,2024-04-19,61,validation,-0.19347569196370926,0.4807721532916087,0.674247845255318,False,2024-04-19
2024-04-22,2492.TW,intraday,zero,2024-04-19,61,validation,0.0,1.9138755980861122,1.9138755980861122,False,2024-04-19
2024-04-22,2492.TW,intraday,sox_copy,2024-04-19,61,validation,-4.115133108715252,1.9138755980861122,6.029008706801364,False,2024-04-19
2024-04-22,2492.TW,intraday,price,2024-04-19,61,validation,-1.0118983741072192,1.9138755980861122,2.9257739721933316,False,2024-04-19
2024-04-22,2492.TW,intraday,us_only,2024-04-19,61,validation,1.392183268954786,1.9138755980861122,0.5216923291313262,True,2024-04-19
2024-04-22,2492.TW,intraday,price_us,2024-04-19,61,validation,0.6653753917593754,1.9138755980861122,1.2485002063267368,True,2024-04-19
2024-04-22,2492.TW,intraday,price_us_peers,2024-04-19,61,validation,0.6653753917593754,1.9138755980861122,1.2485002063267368,True,2024-04-19
2024-04-23,2492.TW,close_to_close,zero,2024-04-22,62,validation,0.0,0.9389682722555914,0.9389682722555914,False,2024-04-22
2024-04-23,2492.TW,close_to_close,sox_copy,2024-04-22,62,validation,1.7425602037079546,0.9389682722555914,0.8035919314523632,True,2024-04-22
2024-04-23,2492.TW,close_to_close,price,2024-04-22,62,validation,0.0037352061722836956,0.9389682722555914,0.9352330660833077,True,2024-04-22
2024-04-23,2492.TW,close_to_close,us_only,2024-04-22,62,validation,-0.13170049341601506,0.9389682722555914,1.0706687656716065,False,2024-04-22
2024-04-23,2492.TW,close_to_close,price_us,2024-04-22,62,validation,-0.37857255929121864,0.9389682722555914,1.31754083154681,False,2024-04-22
2024-04-23,2492.TW,close_to_close,price_us_peers,2024-04-22,62,validation,-0.37857255929121864,0.9389682722555914,1.31754083154681,False,2024-04-22
2024-04-23,2492.TW,gap,zero,2024-04-22,62,validation,0.0,0.9389682722555914,0.9389682722555914,False,2024-04-22
2024-04-23,2492.TW,gap,sox_copy,2024-04-22,62,validation,1.7425602037079546,0.9389682722555914,0.8035919314523632,True,2024-04-22
2024-04-23,2492.TW,gap,price,2024-04-22,62,validation,0.24295011083271636,0.9389682722555914,0.6960181614228751,True,2024-04-22
2024-04-23,2492.TW,gap,us_only,2024-04-22,62,validation,0.902906568714911,0.9389682722555914,0.03606170354068039,True,2024-04-22
2024-04-23,2492.TW,gap,price_us,2024-04-22,62,validation,0.8184232568351307,0.9389682722555914,0.1205450154204607,True,2024-04-22
2024-04-23,2492.TW,gap,price_us_peers,2024-04-22,62,validation,0.8184232568351307,0.9389682722555914,0.1205450154204607,True,2024-04-22
2024-04-23,2492.TW,intraday,zero,2024-04-22,62,validation,0.0,0.0,0.0,True,2024-04-22
2024-04-23,2492.TW,intraday,sox_copy,2024-04-22,62,validation,1.7425602037079546,0.0,1.7425602037079546,False,2024-04-22
2024-04-23,2492.TW,intraday,price,2024-04-22,62,validation,-0.23860093149421435,0.0,0.23860093149421435,False,2024-04-22
2024-04-23,2492.TW,intraday,us_only,2024-04-22,62,validation,-1.0272895616295423,0.0,1.0272895616295423,False,2024-04-22
2024-04-23,2492.TW,intraday,price_us,2024-04-22,62,validation,-1.1865272238549813,0.0,1.1865272238549813,False,2024-04-22
2024-04-23,2492.TW,intraday,price_us_peers,2024-04-22,62,validation,-1.1865272238549813,0.0,1.1865272238549813,False,2024-04-22
2024-04-24,2492.TW,close_to_close,zero,2024-04-23,63,validation,0.0,2.7906935277639766,2.7906935277639766,False,2024-04-23
2024-04-24,2492.TW,close_to_close,sox_copy,2024-04-23,63,validation,2.210900348243827,2.7906935277639766,0.5797931795201494,True,2024-04-23
2024-04-24,2492.TW,close_to_close,price,2024-04-23,63,validation,-0.8923512256271896,2.7906935277639766,3.683044753391166,False,2024-04-23
2024-04-24,2492.TW,close_to_close,us_only,2024-04-23,63,validation,-0.04099447226770366,2.7906935277639766,2.83168800003168,False,2024-04-23
2024-04-24,2492.TW,close_to_close,price_us,2024-04-23,63,validation,-1.0786400656243524,2.7906935277639766,3.869333593388329,False,2024-04-23
2024-04-24,2492.TW,close_to_close,price_us_peers,2024-04-23,63,validation,-1.0786400656243524,2.7906935277639766,3.869333593388329,False,2024-04-23
2024-04-24,2492.TW,gap,zero,2024-04-23,63,validation,0.0,0.4651122262308238,0.4651122262308238,False,2024-04-23
2024-04-24,2492.TW,gap,sox_copy,2024-04-23,63,validation,2.210900348243827,0.4651122262308238,1.7457881220130034,True,2024-04-23
2024-04-24,2492.TW,gap,price,2024-04-23,63,validation,0.2482854000386645,0.4651122262308238,0.21682682619215932,True,2024-04-23
2024-04-24,2492.TW,gap,us_only,2024-04-23,63,validation,1.0653565754383212,0.4651122262308238,0.6002443492074974,True,2024-04-23
2024-04-24,2492.TW,gap,price_us,2024-04-23,63,validation,0.8860054033922837,0.4651122262308238,0.4208931771614599,True,2024-04-23
