date,ticker,target,method,train_end,training_n,phase,predicted_pct,actual_pct,abs_error_pp,correct,us_session
2024-04-19,2327.TW,close_to_close,zero,2024-04-18,60,validation,0.0,-0.8431691684949727,0.8431691684949727,False,2024-04-18
2024-04-19,2327.TW,close_to_close,sox_copy,2024-04-18,60,validation,-1.6552433858525228,-0.8431691684949727,0.8120742173575501,True,2024-04-18
2024-04-19,2327.TW,close_to_close,price,2024-04-18,60,validation,0.18886532256864988,-0.8431691684949727,1.0320344910636225,False,2024-04-18
2024-04-19,2327.TW,close_to_close,us_only,2024-04-18,60,validation,0.20761235569485115,-0.8431691684949727,1.0507815241898237,False,2024-04-18
2024-04-19,2327.TW,close_to_close,price_us,2024-04-18,60,validation,0.1907654287228087,-0.8431691684949727,1.0339345972177814,False,2024-04-18
2024-04-19,2327.TW,close_to_close,price_us_peers,2024-04-18,60,validation,0.1907654287228087,-0.8431691684949727,1.0339345972177814,False,2024-04-18
2024-04-19,2327.TW,gap,zero,2024-04-18,60,validation,0.0,-0.5059031697383642,0.5059031697383642,False,2024-04-18
2024-04-19,2327.TW,gap,sox_copy,2024-04-18,60,validation,-1.6552433858525228,-0.5059031697383642,1.1493402161141586,True,2024-04-18
2024-04-19,2327.TW,gap,price,2024-04-18,60,validation,0.2809764231664142,-0.5059031697383642,0.7868795929047785,False,2024-04-18
2024-04-19,2327.TW,gap,us_only,2024-04-18,60,validation,0.26856825415881985,-0.5059031697383642,0.7744714238971842,False,2024-04-18
2024-04-19,2327.TW,gap,price_us,2024-04-18,60,validation,0.1523442521674763,-0.5059031697383642,0.6582474219058405,False,2024-04-18
2024-04-19,2327.TW,gap,price_us_peers,2024-04-18,60,validation,0.1523442521674763,-0.5059031697383642,0.6582474219058405,False,2024-04-18
2024-04-19,2327.TW,intraday,zero,2024-04-18,60,validation,0.0,-0.3389809139450639,0.3389809139450639,False,2024-04-18
2024-04-19,2327.TW,intraday,sox_copy,2024-04-18,60,validation,-1.6552433858525228,-0.3389809139450639,1.316262471907459,True,2024-04-18
2024-04-19,2327.TW,intraday,price,2024-04-18,60,validation,-0.09109440880377022,-0.3389809139450639,0.24788650514129368,True,2024-04-18
2024-04-19,2327.TW,intraday,us_only,2024-04-18,60,validation,-0.06219611304070413,-0.3389809139450639,0.27678480090435975,True,2024-04-18
2024-04-19,2327.TW,intraday,price_us,2024-04-18,60,validation,0.03762683812163964,-0.3389809139450639,0.37660775206670355,False,2024-04-18
2024-04-19,2327.TW,intraday,price_us_peers,2024-04-18,60,validation,0.03762683812163964,-0.3389809139450639,0.37660775206670355,False,2024-04-18
2024-04-22,2327.TW,close_to_close,zero,2024-04-19,61,validation,0.0,1.8707470594888198,1.8707470594888198,False,2024-04-19
2024-04-22,2327.TW,close_to_close,sox_copy,2024-04-19,61,validation,-4.115133108715252,1.8707470594888198,5.985880168204072,False,2024-04-19
2024-04-22,2327.TW,close_to_close,price,2024-04-19,61,validation,0.21309759334670747,1.8707470594888198,1.6576494661421124,True,2024-04-19
2024-04-22,2327.TW,close_to_close,us_only,2024-04-19,61,validation,0.41242205191754316,1.8707470594888198,1.4583250075712766,True,2024-04-19
2024-04-22,2327.TW,close_to_close,price_us,2024-04-19,61,validation,0.47388124903068285,1.8707470594888198,1.396865810458137,True,2024-04-19
2024-04-22,2327.TW,close_to_close,price_us_peers,2024-04-19,61,validation,0.47388124903068285,1.8707470594888198,1.396865810458137,True,2024-04-19
2024-04-22,2327.TW,gap,zero,2024-04-19,61,validation,0.0,0.8503391364023116,0.8503391364023116,False,2024-04-19
2024-04-22,2327.TW,gap,sox_copy,2024-04-19,61,validation,-4.115133108715252,0.8503391364023116,4.965472245117564,False,2024-04-19
2024-04-22,2327.TW,gap,price,2024-04-19,61,validation,0.49492268355911256,0.8503391364023116,0.35541645284319906,True,2024-04-19
2024-04-22,2327.TW,gap,us_only,2024-04-19,61,validation,0.018988216019705507,0.8503391364023116,0.8313509203826062,True,2024-04-19
2024-04-22,2327.TW,gap,price_us,2024-04-19,61,validation,0.2389201107716583,0.8503391364023116,0.6114190256306533,True,2024-04-19
2024-04-22,2327.TW,gap,price_us_peers,2024-04-19,61,validation,0.2389201107716583,0.8503391364023116,0.6114190256306533,True,2024-04-19
2024-04-22,2327.TW,intraday,zero,2024-04-19,61,validation,0.0,1.011804156361218,1.011804156361218,False,2024-04-19
2024-04-22,2327.TW,intraday,sox_copy,2024-04-19,61,validation,-4.115133108715252,1.011804156361218,5.12693726507647,False,2024-04-19
2024-04-22,2327.TW,intraday,price,2024-04-19,61,validation,-0.28066304953860427,1.011804156361218,1.2924672058998221,False,2024-04-19
2024-04-22,2327.TW,intraday,us_only,2024-04-19,61,validation,0.3869485114743556,1.011804156361218,0.6248556448868623,True,2024-04-19
2024-04-22,2327.TW,intraday,price_us,2024-04-19,61,validation,0.23053002445712267,1.011804156361218,0.7812741319040952,True,2024-04-19
2024-04-22,2327.TW,intraday,price_us_peers,2024-04-19,61,validation,0.23053002445712267,1.011804156361218,0.7812741319040952,True,2024-04-19
2024-04-23,2327.TW,close_to_close,zero,2024-04-22,62,validation,0.0,1.335554815411677,1.335554815411677,False,2024-04-22
2024-04-23,2327.TW,close_to_close,sox_copy,2024-04-22,62,validation,1.7425602037079546,1.335554815411677,0.40700538829627764,True,2024-04-22
2024-04-23,2327.TW,close_to_close,price,2024-04-22,62,validation,0.17531273184335344,1.335554815411677,1.1602420835683236,True,2024-04-22
2024-04-23,2327.TW,close_to_close,us_only,2024-04-22,62,validation,0.17832257884913758,1.335554815411677,1.1572322365625394,True,2024-04-22
2024-04-23,2327.TW,close_to_close,price_us,2024-04-22,62,validation,0.11482250531233641,1.335554815411677,1.2207323100993406,True,2024-04-22
2024-04-23,2327.TW,close_to_close,price_us_peers,2024-04-22,62,validation,0.11482250531233641,1.335554815411677,1.2207323100993406,True,2024-04-22
2024-04-23,2327.TW,gap,zero,2024-04-22,62,validation,0.0,1.5025017119646877,1.5025017119646877,False,2024-04-22
2024-04-23,2327.TW,gap,sox_copy,2024-04-22,62,validation,1.7425602037079546,1.5025017119646877,0.24005849174326688,True,2024-04-22
2024-04-23,2327.TW,gap,price,2024-04-22,62,validation,0.4152880400561455,1.5025017119646877,1.0872136719085423,True,2024-04-22
2024-04-23,2327.TW,gap,us_only,2024-04-22,62,validation,0.6063893020132206,1.5025017119646877,0.8961124099514671,True,2024-04-22
2024-04-23,2327.TW,gap,price_us,2024-04-22,62,validation,0.6885784639459921,1.5025017119646877,0.8139232480186956,True,2024-04-22
2024-04-23,2327.TW,gap,price_us_peers,2024-04-22,62,validation,0.6885784639459921,1.5025017119646877,0.8139232480186956,True,2024-04-22
2024-04-23,2327.TW,intraday,zero,2024-04-22,62,validation,0.0,-0.164475647138973,0.164475647138973,False,2024-04-22
2024-04-23,2327.TW,intraday,sox_copy,2024-04-22,62,validation,1.7425602037079546,-0.164475647138973,1.9070358508469276,False,2024-04-22
2024-04-23,2327.TW,intraday,price,2024-04-22,62,validation,-0.23752884283357983,-0.164475647138973,0.07305319569460683,True,2024-04-22
2024-04-23,2327.TW,intraday,us_only,2024-04-22,62,validation,-0.4244731883066381,-0.164475647138973,0.2599975411676651,True,2024-04-22
2024-04-23,2327.TW,intraday,price_us,2024-04-22,62,validation,-0.5667005926626915,-0.164475647138973,0.40222494552371846,True,2024-04-22
2024-04-23,2327.TW,intraday,price_us_peers,2024-04-22,62,validation,-0.5667005926626915,-0.164475647138973,0.40222494552371846,True,2024-04-22
2024-04-24,2327.TW,close_to_close,zero,2024-04-23,63,validation,0.0,2.8006643474328463,2.8006643474328463,False,2024-04-23
2024-04-24,2327.TW,close_to_close,sox_copy,2024-04-23,63,validation,2.210900348243827,2.8006643474328463,0.5897639991890191,True,2024-04-23
2024-04-24,2327.TW,close_to_close,price,2024-04-23,63,validation,-0.5107446771603448,2.8006643474328463,3.311409024593191,False,2024-04-23
