date,ret1,ret5,ret20,vol20,range_pct,volume_ratio,twii,fx_lag,peer1_lag,peer2_lag,Date,Close,High,Low,Open,Volume,MA5,MA20,MA60,RSI,MACD,MACD_signal,MACD_hist,BB_upper,BB_mid,BB_lower,Volume_MA20,Volume_ratio,ATR,pct_change,usdtwd_pct,twii_pct,murata_pct,tdk_pct,previous_date,gap,intraday,close_to_close,us_session,us_close_utc,us_close_taipei,us_available_taipei,cutoff_taipei,previous_tw_date,new_us_sessions,us_age_hours,repeated_session,alignment_status,sox_last,sox_since_tw,nasdaq_last,nasdaq_since_tw,sp500_last,sp500_since_tw,on_last,on_since_tw,vsh_last,vsh_since_tw,ticker,valid_open,onsemi_pct,vishay_pct,original_prediction,original_error
2026-09-04,-5.37037037037037,-7.927927927927925,-10.350877192982455,5.241014658942747,6.653620352250488,0.6948828524225166,-0.6651369315447186,-0.0410265349467753,-5.075445816186552,-6.333225073075677,2026-09-04,562.0,562.0,532.0,535.0,54800741,545.2,573.1,737.2416666666667,46.5601060425898,-29.37251224271085,-34.349906566523885,4.97739432381303,644.4889273442844,573.1,501.7110726557156,45161868.15,1.2134294537592107,39.34531513536049,9.980430528375738,-0.0970802227241995,1.5122200906831251,4.202289523257496,2.6478375992939007,2026-09-03,4.6966731898238745,5.046728971962611,9.980430528375738,2026-09-03,2026-09-03T20:00:00+00:00,2026-09-04T04:00:00+08:00,2026-09-04T05:00:00+08:00,2026-09-04T08:30:00+08:00,2026-09-03,1.0,4.5,False,ok,0.11358672586370133,0.11358672586370133,1.396875590614055,1.396875590614055,1.057963924661287,1.057963924661287,1.8109002686002684,1.8109002686002684,-0.5227089151055297,-0.5227089151055297,2327.TW,True,,,,
2026-09-07,9.980430528375738,-5.862646566164154,4.074074074074074,5.595413102057763,5.338078291814947,1.2134294537592107,1.5122200906831251,0.1616444133621719,-0.2745664739884357,-1.7857142857142905,2026-09-07,589.0,605.0,570.0,575.0,68404675,554.0,573.9,732.8083333333333,50.11449212857255,-24.5874649110591,-32.397418235430926,7.8099533243718255,645.6419351785062,573.9,502.1580648214937,46827997.85,1.4607644601657894,39.83260645064576,4.804270462633453,-0.2347342124136675,1.6651381893682204,5.965790571547758,2.510748065348234,2026-09-04,2.313167259786475,2.4347826086956514,4.804270462633453,2026-09-04,2026-09-04T20:00:00+00:00,2026-09-05T04:00:00+08:00,2026-09-05T05:00:00+08:00,2026-09-07T08:30:00+08:00,2026-09-04,1.0,52.5,False,ok,3.3749603534097172,3.3749603534097172,-0.28991174002219733,-0.28991174002219733,-0.37572216084515997,-0.37572216084515997,0.9911686522946717,0.9911686522946717,4.43349558683217,4.43349558683217,2327.TW,True,,,,
2026-09-08,4.804270462633453,8.073394495412845,2.7923211169284423,5.5318192089962475,5.942275042444821,1.4607644601657894,1.6651381893682204,-0.0970802227241995,4.202289523257496,2.6478375992939007,2026-09-08,567.0,584.0,565.0,580.0,37849975,553.8,571.4,726.5916666666667,47.3509186174295,-22.31328292858484,-30.38059117406171,8.06730824547687,640.2442941869866,571.4,502.5557058130133,44742906.55,0.8459435901354067,37.72159225722633,-3.73514431239389,-0.3671620448905233,-0.4658898396891597,-7.834645669291341,-6.894816305988927,2026-09-07,-1.5280135823429575,-2.2413793103448265,-3.73514431239389,2026-09-04,2026-09-04T20:00:00+00:00,2026-09-05T04:00:00+08:00,2026-09-05T05:00:00+08:00,2026-09-08T08:30:00+08:00,2026-09-07,0.0,76.5,True,ok,3.3749603534097172,0.0,-0.28991174002219733,0.0,-0.37572216084515997,0.0,0.9911686522946717,0.0,4.43349558683217,0.0,2327.TW,True,,,0.5599,4.29504431239389
2026-09-09,-3.73514431239389,-0.17605633802817433,-8.103727714748787,5.31287386683862,3.3509700176366843,0.8459435901354067,-0.4658898396891597,-0.2347342124136675,5.965790571547758,2.510748065348234,2026-09-09,565.0,585.0,563.0,574.0,26938860,558.8,569.55,720.175,47.09665178124343,-20.43677815110675,-28.39182856947072,7.955050418363967,636.9044434512725,569.55,502.1955565487274,43383872.1,0.6209418084652707,35.62537995626281,-0.3527336860670194,-0.0180897502252253,0.1646891802691508,1.495087569414788,1.3513513513513598,2026-09-08,1.2345679012345734,-1.5679442508710784,-0.3527336860670194,2026-09-08,2026-09-08T20:00:00+00:00,2026-09-09T04:00:00+08:00,2026-09-09T05:00:00+08:00,2026-09-09T08:30:00+08:00,2026-09-08,1.0,4.5,False,ok,1.3004428927046563,1.3004428927046563,-0.32285852663127557,-0.32285852663127557,-0.5840447432778451,-0.5840447432778451,-4.4366705353859555,-4.4366705353859555,-1.037735411977092,-1.037735411977092,2327.TW,True,,,0.6016,0.9543336860670194
2026-09-10,-0.3527336860670194,4.629629629629628,-6.146179401993357,5.289056790567145,3.893805309734513,0.6209418084652707,0.1646891802691508,-0.3671620448905233,-7.834645669291341,-6.894816305988927,2026-09-10,572.0,582.0,543.0,558.0,36614869,571.0,565.05,713.3083333333333,48.14618159624126,-18.1752797852638,-26.348518812629337,8.17323902736554,616.5597333673747,565.05,513.5402666326252,42977830.15,0.8519478268727814,36.07532929542777,1.2389380530973382,-0.1117492447464729,-0.5147388760934346,5.569584736251398,1.351111111111103,2026-09-09,-1.2389380530973493,2.508960573476693,1.2389380530973382,2026-09-09,2026-09-09T20:00:00+00:00,2026-09-10T04:00:00+08:00,2026-09-10T05:00:00+08:00,2026-09-10T08:30:00+08:00,2026-09-09,1.0,4.5,False,ok,0.3655002526455897,0.3655002526455897,-0.636114088937989,-0.636114088937989,-0.48426479836394254,-0.48426479836394254,-0.1406844000352958,-0.1406844000352958,0.6990822432745514,0.6990822432745514,2327.TW,True,,,,
2026-09-11,1.2389380530973382,11.937377690802343,-13.595166163141991,4.738724724388349,6.8181818181818175,0.8519478268727814,-0.5147388760934346,-0.0180897502252253,1.495087569414788,1.3513513513513598,2026-09-11,544.0,570.0,544.0,552.0,33780557,567.4,561.15,704.375,44.35560880717782,-18.429943119315453,-24.76480367396656,6.334860554651108,605.8679464738844,561.15,516.4320535261155,41134944.7,0.8212131375492039,34.998618722704066,-4.895104895104896,0.5434767453688316,-1.6097760087677493,-2.299003322259141,-1.47342571478688,2026-09-10,-3.4965034965035002,-1.449275362318836,-4.895104895104896,2026-09-10,2026-09-10T20:00:00+00:00,2026-09-11T04:00:00+08:00,2026-09-11T05:00:00+08:00,2026-09-11T08:30:00+08:00,2026-09-10,1.0,4.5,False,ok,-2.6581332352022535,-2.6581332352022535,-0.6537040302163954,-0.6537040302163954,-0.5848292742657635,-0.5848292742657635,-1.141173780895799,-1.141173780895799,-0.9496651966175107,-0.9496651966175107,2327.TW,True,,,,
2026-09-14,-4.895104895104896,-3.2028469750889688,-12.540192926045012,4.676194842976987,4.779411764705882,0.8212131375492039,-1.6097760087677493,-0.1117492447464729,5.569584736251398,1.351111111111103,2026-09-14,545.0,550.0,520.0,525.0,21440055,558.6,558.0,695.7083333333334,44.52359668355008,-18.339665752896394,-23.47977608975253,5.140110336856136,597.3793961622617,558.0,518.6206038377383,40449834.9,0.5300406059259343,34.33213622634352,0.1838235294117751,0.1302375138906075,-0.6979172181896032,-2.5163220892274185,0.2848495638241077,2026-09-11,-3.492647058823528,3.809523809523818,0.18382352941177516,2026-09-11,2026-09-11T20:00:00+00:00,2026-09-12T04:00:00+08:00,2026-09-12T05:00:00+08:00,2026-09-14T08:30:00+08:00,2026-09-11,1.0,52.5,False,ok,1.80667305142308,1.80667305142308,0.9635804410131898,0.9635804410131898,0.8598836028398171,0.8598836028398171,8.50791132462254,8.50791132462254,6.13613970203668,6.13613970203668,2327.TW,True,,,,
2026-09-15,0.18382352941177516,-7.47028862478778,-10.361842105263152,4.661661929188812,5.5045871559633035,0.5300406059259343,-0.6979172181896032,0.5434767453688316,-2.299003322259141,-1.47342571478688,2026-09-15,537.0,558.0,535.0,550.0,22512275,552.6,556.05,687.6583333333333,43.39491859704394,-18.69811322076873,-22.523443515955773,3.82533029518704,595.538705913665,556.05,516.5612940863349,39821147.55,0.5653346622352675,32.82118472949772,-1.4678899082568808,0.4665917444771184,-0.7653989654031412,3.23705874145388,0.6035860110065627,2026-09-14,0.917431192660545,-2.3636363636363678,-1.4678899082568808,2026-09-14,2026-09-14T20:00:00+00:00,2026-09-15T04:00:00+08:00,2026-09-15T05:00:00+08:00,2026-09-15T08:30:00+08:00,2026-09-14,1.0,4.5,False,ok,-5.858590380264717,-5.858590380264717,-0.5568248537587528,-0.5568248537587528,-0.48321923388043864,-0.48321923388043864,-5.897029025166978,-5.897029025166978,-7.256850086873101,-7.256850086873101,2327.TW,True,,,,
2026-09-04,-7.337883959044367,-4.736842105263161,5.84795321637428,6.016867875478664,9.576427255985267,0.6666333263162514,-0.6651369315447186,-0.0410265349467753,-5.075445816186552,-6.333225073075677,2026-09-04,298.5,298.5,282.5,282.5,26586494,292.1,287.625,367.1780654907226,51.06679635141854,-5.439498488216657,-10.414731863702524,4.975233375485868,319.5984676189333,287.625,255.65153238106672,32936724.85,0.8071990800870414,23.09591177536386,9.944751381215466,-0.0970802227241995,1.5122200906831251,4.202289523257496,2.6478375992939007,2026-09-03,4.051565377532218,5.663716814159292,9.944751381215466,2026-09-03,2026-09-03T20:00:00+00:00,2026-09-04T04:00:00+08:00,2026-09-04T05:00:00+08:00,2026-09-04T08:30:00+08:00,2026-09-03,1.0,4.5,False,ok,0.11358672586370133,0.11358672586370133,1.396875590614055,1.396875590614055,1.057963924661287,1.057963924661287,1.8109002686002684,1.8109002686002684,-0.5227089151055297,-0.5227089151055297,2492.TW,True,,,,
2026-09-07,9.944751381215466,-4.784688995215314,18.924302788844628,6.34067365181901,5.360134003350084,0.8071990800870414,1.5122200906831251,0.1616444133621719,-0.2745664739884357,-1.7857142857142905,2026-09-07,323.0,328.0,309.5,310.0,46391158,297.7,290.1,365.78072967529295,56.215211610600285,-2.22508948832143,-8.776803388626305,6.551713900304875,324.9992534982752,290.1,255.20074650172484,33899119.45,1.3685062843129394,23.949790205315345,8.20770519262981,-0.2347342124136675,1.6651381893682204,5.965790571547758,2.510748065348234,2026-09-04,3.8525963149078635,4.193548387096779,8.20770519262981,2026-09-04,2026-09-04T20:00:00+00:00,2026-09-05T04:00:00+08:00,2026-09-05T05:00:00+08:00,2026-09-07T08:30:00+08:00,2026-09-04,1.0,52.5,False,ok,3.3749603534097172,3.3749603534097172,-0.28991174002219733,-0.28991174002219733,-0.37572216084515997,-0.37572216084515997,0.9911686522946717,0.9911686522946717,4.43349558683217,4.43349558683217,2492.TW,True,,,,
