date,ticker,target,method,train_end,training_n,phase,predicted_pct,actual_pct,abs_error_pp,correct,us_session
2024-04-19,3357.TWO,close_to_close,zero,2024-04-18,60,validation,0.0,-3.083697961345788,3.083697961345788,False,2024-04-18
2024-04-19,3357.TWO,close_to_close,sox_copy,2024-04-18,60,validation,-1.6552433858525228,-3.083697961345788,1.4284545754932654,True,2024-04-18
2024-04-19,3357.TWO,close_to_close,price,2024-04-18,60,validation,0.41030938575326675,-3.083697961345788,3.494007347099055,False,2024-04-18
2024-04-19,3357.TWO,close_to_close,us_only,2024-04-18,60,validation,0.03125931637094343,-3.083697961345788,3.114957277716732,False,2024-04-18
2024-04-19,3357.TWO,close_to_close,price_us,2024-04-18,60,validation,0.29145750102648343,-3.083697961345788,3.3751554623722715,False,2024-04-18
2024-04-19,3357.TWO,close_to_close,price_us_peers,2024-04-18,60,validation,0.29145750102648343,-3.083697961345788,3.3751554623722715,False,2024-04-18
2024-04-19,3357.TWO,gap,zero,2024-04-18,60,validation,0.0,-0.4405260875643191,0.4405260875643191,False,2024-04-18
2024-04-19,3357.TWO,gap,sox_copy,2024-04-18,60,validation,-1.6552433858525228,-0.4405260875643191,1.2147172982882037,True,2024-04-18
2024-04-19,3357.TWO,gap,price,2024-04-18,60,validation,0.2519894616691717,-0.4405260875643191,0.6925155492334908,False,2024-04-18
2024-04-19,3357.TWO,gap,us_only,2024-04-18,60,validation,0.14448245481691768,-0.4405260875643191,0.5850085423812368,False,2024-04-18
2024-04-19,3357.TWO,gap,price_us,2024-04-18,60,validation,0.059972977133210106,-0.4405260875643191,0.5004990646975293,False,2024-04-18
2024-04-19,3357.TWO,gap,price_us_peers,2024-04-18,60,validation,0.059972977133210106,-0.4405260875643191,0.5004990646975293,False,2024-04-18
2024-04-19,3357.TWO,intraday,zero,2024-04-18,60,validation,0.0,-2.65486725663715,2.65486725663715,False,2024-04-18
2024-04-19,3357.TWO,intraday,sox_copy,2024-04-18,60,validation,-1.6552433858525228,-2.65486725663715,0.9996238707846272,True,2024-04-18
2024-04-19,3357.TWO,intraday,price,2024-04-18,60,validation,0.16947790458577863,-2.65486725663715,2.824345161222929,False,2024-04-18
2024-04-19,3357.TWO,intraday,us_only,2024-04-18,60,validation,-0.10634328659434776,-2.65486725663715,2.5485239700428024,True,2024-04-18
2024-04-19,3357.TWO,intraday,price_us,2024-04-18,60,validation,0.23981953951469917,-2.65486725663715,2.8946867961518494,False,2024-04-18
2024-04-19,3357.TWO,intraday,price_us_peers,2024-04-18,60,validation,0.23981953951469917,-2.65486725663715,2.8946867961518494,False,2024-04-18
2024-04-22,3357.TWO,close_to_close,zero,2024-04-19,61,validation,0.0,-5.000001102558782,5.000001102558782,False,2024-04-19
2024-04-22,3357.TWO,close_to_close,sox_copy,2024-04-19,61,validation,-4.115133108715252,-5.000001102558782,0.88486799384353,True,2024-04-19
2024-04-22,3357.TWO,close_to_close,price,2024-04-19,61,validation,-0.3023092520916376,-5.000001102558782,4.6976918504671445,True,2024-04-19
2024-04-22,3357.TWO,close_to_close,us_only,2024-04-19,61,validation,-0.38918990671658665,-5.000001102558782,4.610811195842196,True,2024-04-19
2024-04-22,3357.TWO,close_to_close,price_us,2024-04-19,61,validation,-0.7152022320734857,-5.000001102558782,4.284798870485297,True,2024-04-19
2024-04-22,3357.TWO,close_to_close,price_us_peers,2024-04-19,61,validation,-0.7152022320734857,-5.000001102558782,4.284798870485297,True,2024-04-19
2024-04-22,3357.TWO,gap,zero,2024-04-19,61,validation,0.0,-1.1605881589105138e-06,1.1605881589105138e-06,False,2024-04-19
2024-04-22,3357.TWO,gap,sox_copy,2024-04-19,61,validation,-4.115133108715252,-1.1605881589105138e-06,4.115131948127093,True,2024-04-19
2024-04-22,3357.TWO,gap,price,2024-04-19,61,validation,0.5808443724463218,-1.1605881589105138e-06,0.5808455330344807,False,2024-04-19
2024-04-22,3357.TWO,gap,us_only,2024-04-19,61,validation,-0.25867887483677743,-1.1605881589105138e-06,0.2586777142486185,True,2024-04-19
2024-04-22,3357.TWO,gap,price_us,2024-04-19,61,validation,0.04440616865751564,-1.1605881589105138e-06,0.04440732924567455,False,2024-04-19
2024-04-22,3357.TWO,gap,price_us_peers,2024-04-19,61,validation,0.04440616865751564,-1.1605881589105138e-06,0.04440732924567455,False,2024-04-19
2024-04-22,3357.TWO,intraday,zero,2024-04-19,61,validation,0.0,-5.000000000000027,5.000000000000027,False,2024-04-19
2024-04-22,3357.TWO,intraday,sox_copy,2024-04-19,61,validation,-4.115133108715252,-5.000000000000027,0.8848668912847746,True,2024-04-19
2024-04-22,3357.TWO,intraday,price,2024-04-19,61,validation,-0.867558131698337,-5.000000000000027,4.13244186830169,True,2024-04-19
2024-04-22,3357.TWO,intraday,us_only,2024-04-19,61,validation,-0.13039726255824563,-5.000000000000027,4.869602737441781,True,2024-04-19
2024-04-22,3357.TWO,intraday,price_us,2024-04-19,61,validation,-0.7528674602444695,-5.000000000000027,4.247132539755557,True,2024-04-19
2024-04-22,3357.TWO,intraday,price_us_peers,2024-04-19,61,validation,-0.7528674602444695,-5.000000000000027,4.247132539755557,True,2024-04-19
2024-04-23,3357.TWO,close_to_close,zero,2024-04-22,62,validation,0.0,0.9569436482594451,0.9569436482594451,False,2024-04-22
2024-04-23,3357.TWO,close_to_close,sox_copy,2024-04-22,62,validation,1.7425602037079546,0.9569436482594451,0.7856165554485095,True,2024-04-22
2024-04-23,3357.TWO,close_to_close,price,2024-04-22,62,validation,-0.27438085632520226,0.9569436482594451,1.2313245045846473,False,2024-04-22
2024-04-23,3357.TWO,close_to_close,us_only,2024-04-22,62,validation,0.37376166052186804,0.9569436482594451,0.583181987737577,True,2024-04-22
2024-04-23,3357.TWO,close_to_close,price_us,2024-04-22,62,validation,0.1429644436064215,0.9569436482594451,0.8139792046530236,True,2024-04-22
2024-04-23,3357.TWO,close_to_close,price_us_peers,2024-04-22,62,validation,0.1429644436064215,0.9569436482594451,0.8139792046530236,True,2024-04-22
2024-04-23,3357.TWO,gap,zero,2024-04-22,62,validation,0.0,0.47847472101654187,0.47847472101654187,False,2024-04-22
2024-04-23,3357.TWO,gap,sox_copy,2024-04-22,62,validation,1.7425602037079546,0.47847472101654187,1.2640854826914127,True,2024-04-22
2024-04-23,3357.TWO,gap,price,2024-04-22,62,validation,0.18295828933713873,0.47847472101654187,0.2955164316794031,True,2024-04-22
2024-04-23,3357.TWO,gap,us_only,2024-04-22,62,validation,0.5879166200035614,0.47847472101654187,0.1094418989870195,True,2024-04-22
2024-04-23,3357.TWO,gap,price_us,2024-04-22,62,validation,0.5476462344496895,0.47847472101654187,0.06917151343314765,True,2024-04-22
2024-04-23,3357.TWO,gap,price_us_peers,2024-04-22,62,validation,0.5476462344496895,0.47847472101654187,0.06917151343314765,True,2024-04-22
2024-04-23,3357.TWO,intraday,zero,2024-04-22,62,validation,0.0,0.4761904761904523,0.4761904761904523,False,2024-04-22
2024-04-23,3357.TWO,intraday,sox_copy,2024-04-22,62,validation,1.7425602037079546,0.4761904761904523,1.2663697275175023,True,2024-04-22
2024-04-23,3357.TWO,intraday,price,2024-04-22,62,validation,-0.4411605158995156,0.4761904761904523,0.9173509920899678,False,2024-04-22
2024-04-23,3357.TWO,intraday,us_only,2024-04-22,62,validation,-0.2007267615623242,0.4761904761904523,0.6769172377527765,False,2024-04-22
2024-04-23,3357.TWO,intraday,price_us,2024-04-22,62,validation,-0.38222535878809905,0.4761904761904523,0.8584158349785513,False,2024-04-22
2024-04-23,3357.TWO,intraday,price_us_peers,2024-04-22,62,validation,-0.38222535878809905,0.4761904761904523,0.8584158349785513,False,2024-04-22
2024-04-24,3357.TWO,close_to_close,zero,2024-04-23,63,validation,0.0,8.056867170783711,8.056867170783711,False,2024-04-23
2024-04-24,3357.TWO,close_to_close,sox_copy,2024-04-23,63,validation,2.210900348243827,8.056867170783711,5.845966822539884,True,2024-04-23
2024-04-24,3357.TWO,close_to_close,price,2024-04-23,63,validation,0.14129456241924715,8.056867170783711,7.915572608364464,True,2024-04-23
2024-04-24,3357.TWO,close_to_close,us_only,2024-04-23,63,validation,0.49397267693959684,8.056867170783711,7.562894493844114,True,2024-04-23
2024-04-24,3357.TWO,close_to_close,price_us,2024-04-23,63,validation,0.4776505973367968,8.056867170783711,7.579216573446915,True,2024-04-23
2024-04-24,3357.TWO,close_to_close,price_us_peers,2024-04-23,63,validation,0.4776505973367968,8.056867170783711,7.579216573446915,True,2024-04-23
2024-04-24,3357.TWO,gap,zero,2024-04-23,63,validation,0.0,1.4217963795952304,1.4217963795952304,False,2024-04-23
2024-04-24,3357.TWO,gap,sox_copy,2024-04-23,63,validation,2.210900348243827,1.4217963795952304,0.7891039686485968,True,2024-04-23
